latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
69.725,141.127,318.1,3.4,1.7,2019-08-06,00:50,T,71,6.0NRT,291.1,82,D
69.724,141.034,315.8,3.5,1.8,2019-08-06,00:50,T,73,6.0NRT,290.4,70.2,D
69.716,141.117,316,3.4,1.7,2019-08-06,00:50,T,76,6.0NRT,289.7,76.6,D
69.716,141.025,308.3,3.5,1.8,2019-08-06,00:50,T,59,6.0NRT,289,41,D
56.634,161.318,338.3,1.2,1.1,2019-08-06,00:55,T,91,6.0NRT,301.2,52.7,D
38.688,141.205,315.1,2,1.4,2019-08-06,01:00,T,38,6.0NRT,296.7,12.2,D
27.242,140.883,313.5,1.5,1.2,2019-08-06,01:00,T,58,6.0NRT,296.7,16.7,D
37.999,140.637,314,2.2,1.4,2019-08-06,01:00,T,36,6.0NRT,296.6,16.6,D
38.367,140.376,317.6,2.3,1.5,2019-08-06,01:00,T,35,6.0NRT,298.9,21.2,D
69.715,141.108,332,2.2,1.4,2019-08-06,01:10,A,88,6.0NRT,291.4,90.1,D
69.727,141.145,320.2,2.2,1.4,2019-08-06,01:10,A,51,6.0NRT,292.3,47.1,D
69.713,141.104,328.9,2.2,1.4,2019-08-06,01:10,A,86,6.0NRT,291.1,77,D
65.539,123.678,341.4,1.9,1.4,2019-08-06,02:30,T,72,6.0NRT,292.2,101.4,D
63.721,131.185,357.2,1.1,1.1,2019-08-06,02:30,T,75,6.0NRT,299.8,83,D
63.722,131.09,324.9,1.1,1.1,2019-08-06,02:30,T,65,6.0NRT,299.2,20.7,D
63.72,131.113,360.4,1.1,1.1,2019-08-06,02:30,T,87,6.0NRT,303.7,94.6,D
63.717,131.135,362.8,1.1,1.1,2019-08-06,02:30,T,87,6.0NRT,299.4,101.3,D
63.708,131.129,351.3,1.1,1.1,2019-08-06,02:30,T,78,6.0NRT,293.5,69.4,D
61.535,113.127,302.8,4.3,1.9,2019-08-06,02:30,T,54,6.0NRT,291.9,31.3,D
61.536,113.21,303.4,4.3,1.9,2019-08-06,02:30,T,56,6.0NRT,291.6,33.8,D
61.534,113.206,303.2,4.3,1.9,2019-08-06,02:30,T,55,6.0NRT,291.6,35.7,D
61.354,112.787,303.9,4.4,1.9,2019-08-06,02:30,T,57,6.0NRT,293.4,34.4,D
61.337,112.789,304.4,4.4,1.9,2019-08-06,02:30,T,59,6.0NRT,293.9,36.3,D
61.337,112.779,304.8,4.4,1.9,2019-08-06,02:30,T,39,6.0NRT,293.9,35.9,D
69.718,141.059,321.8,1,1,2019-08-06,02:30,T,81,6.0NRT,295,15.8,D
69.704,140.892,320.6,1,1,2019-08-06,02:30,T,42,6.0NRT,294.6,14.9,D
69.646,140.477,325,1,1,2019-08-06,02:30,T,83,6.0NRT,292.3,20.6,D
69.638,140.467,316.5,1,1,2019-08-06,02:30,T,45,6.0NRT,292.7,11.5,D
69.633,140.292,304,1,1,2019-08-06,02:30,T,45,6.0NRT,292.7,3.6,D
69.63,140.316,308.2,1,1,2019-08-06,02:30,T,60,6.0NRT,292.9,6,D
69.535,140.227,318.2,1,1,2019-08-06,02:30,T,66,6.0NRT,294,13.1,D
69.461,140.613,314,1,1,2019-08-06,02:30,T,51,6.0NRT,290.1,10.1,D
69.356,140.855,306.6,1,1,2019-08-06,02:30,T,58,6.0NRT,293,5.1,D
67.882,135.311,307.4,1.1,1,2019-08-06,02:30,T,55,6.0NRT,285.6,5.1,D
67.89,135.203,306.7,1.1,1,2019-08-06,02:30,T,0,6.0NRT,284.8,6.7,D
67.662,135.111,308.7,1.1,1,2019-08-06,02:30,T,0,6.0NRT,285,9.3,D
67.703,134.394,302.1,1.1,1.1,2019-08-06,02:30,T,38,6.0NRT,289.3,5.4,D
67.496,125.935,304.3,1.8,1.3,2019-08-06,02:30,T,56,6.0NRT,289.5,12.3,D
67.511,122.422,318.7,2.2,1.4,2019-08-06,02:30,T,77,6.0NRT,286.7,47.2,D
67.472,122.411,315.7,2.2,1.4,2019-08-06,02:30,T,43,6.0NRT,290,33.8,D
67.361,122.269,311.9,2.3,1.5,2019-08-06,02:30,T,45,6.0NRT,290.2,20.9,D
67.297,122.298,311.8,2.2,1.5,2019-08-06,02:30,T,29,6.0NRT,290.7,29.1,D
67.287,122.289,305.5,2.2,1.5,2019-08-06,02:30,T,16,6.0NRT,287.5,17.9,D
66.554,124.648,300.9,1.9,1.3,2019-08-06,02:30,T,38,6.0NRT,289.8,8.7,D
66.552,124.69,300.6,1.9,1.3,2019-08-06,02:30,T,33,6.0NRT,289.2,8.3,D
66.507,124.752,311.7,1.8,1.3,2019-08-06,02:30,T,32,6.0NRT,292.9,20.7,D
66.495,124.747,312.6,1.8,1.3,2019-08-06,02:30,T,32,6.0NRT,291.9,20.6,D
66.465,125.238,354.3,1.8,1.3,2019-08-06,02:30,T,93,6.0NRT,295.8,155.3,D
66.507,124.32,318,1.9,1.3,2019-08-06,02:30,T,34,6.0NRT,293.1,32.6,D
66.502,124.406,325.9,1.9,1.3,2019-08-06,02:30,T,78,6.0NRT,293.1,48.9,D
66.456,125.194,367.4,1.8,1.3,2019-08-06,02:30,T,100,6.0NRT,298.3,229.3,D
66.453,125.234,371.7,1.8,1.3,2019-08-06,02:30,T,100,6.0NRT,295.5,268.1,D
66.471,124.739,311.7,1.8,1.3,2019-08-06,02:30,T,59,6.0NRT,291.2,19.1,D
66.39,125.293,349.7,1.8,1.3,2019-08-06,02:30,T,96,6.0NRT,297.6,129.2,D
66.395,125.29,343.8,1.8,1.3,2019-08-06,02:30,T,88,6.0NRT,298.2,101.2,D
66.383,125.285,335,1.8,1.3,2019-08-06,02:30,T,65,6.0NRT,297.2,66,D
66.433,124.246,325.3,1.9,1.3,2019-08-06,02:30,T,75,6.0NRT,294.6,50.3,D
66.369,125.319,348.9,1.8,1.3,2019-08-06,02:30,T,93,6.0NRT,295.7,126.3,D
66.297,124.192,313,1.9,1.3,2019-08-06,02:30,T,63,6.0NRT,291.1,27.6,D
66.293,124.185,314.6,1.9,1.3,2019-08-06,02:30,T,59,6.0NRT,290.5,30,D
66.093,123.399,317.8,2,1.4,2019-08-06,02:30,T,59,6.0NRT,294.3,36,D
66.091,123.444,335.1,2,1.4,2019-08-06,02:30,T,84,6.0NRT,298.6,91.4,D
66.089,123.488,330.8,2,1.4,2019-08-06,02:30,T,85,6.0NRT,297.4,74.1,D
66.076,123.484,317,2,1.4,2019-08-06,02:30,T,55,6.0NRT,294.8,34.4,D
66.055,123.379,308,2,1.4,2019-08-06,02:30,T,36,6.0NRT,292.5,16.4,D
66.028,123.417,308,2,1.4,2019-08-06,02:30,T,42,6.0NRT,292.5,14.8,D
65.997,123.272,318.2,2,1.4,2019-08-06,02:30,T,78,6.0NRT,294.5,35,D
65.974,123.214,310.4,2,1.4,2019-08-06,02:30,T,23,6.0NRT,294.2,17.6,D
65.961,123.21,310.1,2,1.4,2019-08-06,02:30,T,33,6.0NRT,294,17.2,D
65.926,123.155,319.7,2,1.4,2019-08-06,02:30,T,17,6.0NRT,294.8,39,D
65.915,123.106,319.4,2,1.4,2019-08-06,02:30,T,35,6.0NRT,291.7,39.8,D
65.913,123.152,339.9,2,1.4,2019-08-06,02:30,T,87,6.0NRT,294.9,112.5,D
65.8,123.112,318.1,2,1.4,2019-08-06,02:30,T,78,6.0NRT,291.1,40.7,D
65.798,123.157,307.2,2,1.4,2019-08-06,02:30,T,58,6.0NRT,293.1,16.4,D
65.752,123.805,317.6,1.9,1.4,2019-08-06,02:30,T,46,6.0NRT,293.3,33.9,D
65.799,123.107,314.7,2,1.4,2019-08-06,02:30,T,75,6.0NRT,290.7,32.8,D
65.797,123.151,310.6,2,1.4,2019-08-06,02:30,T,70,6.0NRT,293,23.7,D
65.752,123.756,311.7,1.9,1.4,2019-08-06,02:30,T,41,6.0NRT,296.5,19.4,D
65.683,123.649,309.3,2,1.4,2019-08-06,02:30,T,24,6.0NRT,294.2,15,D
65.674,123.818,334.7,1.9,1.4,2019-08-06,02:30,T,77,6.0NRT,296,86.8,D
