latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
68.567,134.129,308.2,3.9,1.8,2019-07-23,00:55,A,67,6.0NRT,290.8,60.3,D
68.574,134.109,303.6,3.9,1.8,2019-07-23,00:55,A,56,6.0NRT,290,37,D
68.565,134.149,302.6,3.9,1.8,2019-07-23,00:55,A,51,6.0NRT,290.4,33.6,D
69.037,135.373,319.1,3.5,1.8,2019-07-23,00:55,A,55,6.0NRT,284.3,95.6,D
69.028,135.409,322.4,3.5,1.8,2019-07-23,00:55,A,35,6.0NRT,286.2,107.2,D
69.031,135.394,321.6,3.5,1.8,2019-07-23,00:55,A,39,6.0NRT,286.3,107.8,D
68.992,135.535,308.3,3.5,1.8,2019-07-23,00:55,A,18,6.0NRT,283.1,42,D
68.958,135.519,311.5,3.5,1.8,2019-07-23,00:55,A,43,6.0NRT,285,56.7,D
68.891,135.639,313.5,3.5,1.8,2019-07-23,00:55,A,66,6.0NRT,286.2,71.4,D
68.894,135.623,315.3,3.5,1.8,2019-07-23,00:55,A,49,6.0NRT,285.6,74.2,D
69.024,136.009,319.2,3.4,1.7,2019-07-23,00:55,A,67,6.0NRT,288.1,96.3,D
69.317,136.861,301.6,3.2,1.7,2019-07-23,00:55,A,48,6.0NRT,284.3,30,D
69.319,136.862,302,3.2,1.7,2019-07-23,00:55,A,50,6.0NRT,284.3,29.5,D
68.886,136.089,314.8,3.5,1.8,2019-07-23,00:55,A,75,6.0NRT,288.5,80.6,D
68.347,135.32,303.4,3.9,1.8,2019-07-23,00:55,A,39,6.0NRT,289.1,32.4,D
68.353,135.297,304.6,3.9,1.8,2019-07-23,00:55,A,51,6.0NRT,289.2,38.2,D
67.917,134.557,304.7,4.3,1.9,2019-07-23,00:55,A,60,6.0NRT,288.7,54.8,D
68.473,135.818,303.1,3.7,1.8,2019-07-23,00:55,A,39,6.0NRT,286.9,34,D
67.917,134.569,306.5,4.3,1.9,2019-07-23,00:55,A,54,6.0NRT,288.8,57.2,D
68.469,135.84,303.6,3.7,1.8,2019-07-23,00:55,A,56,6.0NRT,286.9,40.7,D
67.587,135.095,307.4,4.4,1.9,2019-07-23,00:55,A,46,6.0NRT,289.3,56.8,D
67.565,135.167,312.6,4.4,1.9,2019-07-23,00:55,A,73,6.0NRT,289.9,87,D
67.565,135.178,312.6,4.4,1.9,2019-07-23,00:55,A,73,6.0NRT,290,87.6,D
68.342,136.921,312.1,3.6,1.8,2019-07-23,00:55,A,68,6.0NRT,287.3,74,D
68.241,137.126,306.8,3.7,1.8,2019-07-23,00:55,A,54,6.0NRT,285.8,51.5,D
69.138,134.953,302.3,3.5,1.8,2019-07-23,00:55,A,52,6.0NRT,284.5,33.4,D
68.96,134.568,303.4,3.6,1.8,2019-07-23,00:55,A,49,6.0NRT,282.4,41.2,D
69.141,134.939,301.5,3.5,1.8,2019-07-23,00:55,A,48,6.0NRT,284,30.5,D
68.595,134.184,300.1,3.9,1.8,2019-07-23,00:55,A,26,6.0NRT,289.1,24.7,D
68.234,131.355,302.7,4.6,2,2019-07-23,00:55,A,53,6.0NRT,289.6,43.1,D
68.234,131.354,303,4.6,2,2019-07-23,00:55,A,54,6.0NRT,289.5,41.5,D
68.594,132.76,300.7,4.1,1.9,2019-07-23,00:55,A,40,6.0NRT,288.9,32.4,D
69.222,134.133,307.4,3.6,1.8,2019-07-23,00:55,A,65,6.0NRT,284.3,52.7,D
69.212,134.169,308.1,3.6,1.8,2019-07-23,00:55,A,67,6.0NRT,285.7,55,D
69.218,134.16,317.7,3.6,1.8,2019-07-23,00:55,A,78,6.0NRT,285.5,101.9,D
69.163,134.216,310.1,3.6,1.8,2019-07-23,00:55,A,57,6.0NRT,286.3,64.1,D
68.505,130.783,303.2,4.5,1.9,2019-07-23,01:00,A,54,6.0NRT,290.9,38.6,D
68.515,130.743,305.8,4.5,1.9,2019-07-23,01:00,A,62,6.0NRT,289.8,53.1,D
68.515,130.741,305,4.5,1.9,2019-07-23,01:00,A,60,6.0NRT,289.6,48.3,D
68.506,130.781,303.9,4.5,1.9,2019-07-23,01:00,A,57,6.0NRT,291,42.4,D
68.96,135.478,335.9,1.3,1.1,2019-07-23,02:15,T,89,6.0NRT,294.8,45.9,D
69.015,134.906,364.9,1.3,1.1,2019-07-23,02:15,T,100,6.0NRT,296.8,144.4,D
69.018,134.873,318,1.3,1.1,2019-07-23,02:15,T,47,6.0NRT,288.4,18.7,D
68.896,136.117,329.2,1.2,1.1,2019-07-23,02:15,T,61,6.0NRT,293.4,31,D
68.899,136.088,320.7,1.2,1.1,2019-07-23,02:15,T,47,6.0NRT,293.7,19.4,D
68.905,136.03,341.6,1.2,1.1,2019-07-23,02:15,T,92,6.0NRT,296.3,53.2,D
68.958,135.482,331.1,1.3,1.1,2019-07-23,02:15,T,87,6.0NRT,294.7,36.5,D
69.012,134.91,343.1,1.3,1.1,2019-07-23,02:15,T,93,6.0NRT,292.4,67,D
69.015,134.877,320.5,1.3,1.1,2019-07-23,02:15,T,64,6.0NRT,288.1,21.4,D
68.903,136.154,332.1,1.2,1.1,2019-07-23,02:15,T,62,6.0NRT,293.6,34.3,D
68.906,136.124,364.3,1.2,1.1,2019-07-23,02:15,T,100,6.0NRT,298.1,122.4,D
68.909,136.095,353.4,1.2,1.1,2019-07-23,02:15,T,97,6.0NRT,297.9,86.1,D
68.912,136.066,351.4,1.2,1.1,2019-07-23,02:15,T,96,6.0NRT,295.1,79,D
68.915,136.037,358,1.2,1.1,2019-07-23,02:15,T,99,6.0NRT,297.1,94.9,D
68.962,135.549,333.5,1.3,1.1,2019-07-23,02:15,T,46,6.0NRT,294.7,37.8,D
68.965,135.52,346.7,1.3,1.1,2019-07-23,02:15,T,90,6.0NRT,295.7,68.7,D
68.968,135.49,339.8,1.3,1.1,2019-07-23,02:15,T,91,6.0NRT,293,53.7,D
69.022,134.916,352.9,1.3,1.1,2019-07-23,02:15,T,97,6.0NRT,295.5,95,D
69.024,134.884,328.2,1.3,1.1,2019-07-23,02:15,T,85,6.0NRT,290.2,33.4,D
68.912,136.162,385.1,1.2,1.1,2019-07-23,02:15,T,100,6.0NRT,300.5,230.4,D
68.921,136.073,352.8,1.2,1.1,2019-07-23,02:15,T,97,6.0NRT,300.2,77.4,D
