latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
52.543,39.637,319.9,1.4,1.2,2019-08-11,00:00,A,99,6.0NRT,285.1,32.9,N
40.128,26.255,352.7,1.1,1,2019-08-11,00:05,A,100,6.0NRT,299.8,75.4,N
40.127,26.268,361.8,1.1,1,2019-08-11,00:05,A,100,6.0NRT,299.1,101.3,N
40.125,26.281,321.6,1.1,1,2019-08-11,00:05,A,100,6.0NRT,295.8,20.2,N
40.12,26.241,308.4,1.1,1,2019-08-11,00:05,A,63,6.0NRT,294.5,7.6,N
40.119,26.253,339,1.1,1,2019-08-11,00:05,A,100,6.0NRT,296.5,46,N
40.142,26.297,325.8,1.1,1,2019-08-11,00:05,A,100,6.0NRT,296.3,25.5,N
40.134,26.283,315.9,1.1,1,2019-08-11,00:05,A,92,6.0NRT,296.6,14.3,N
47.098,37.595,300.1,1.5,1.2,2019-08-11,00:05,A,19,6.0NRT,289.4,9.2,N
47.633,34.329,304.3,1.1,1.1,2019-08-11,00:05,A,60,6.0NRT,286.5,9.8,N
40.136,26.27,320.9,1.1,1,2019-08-11,00:05,A,100,6.0NRT,297.2,18.7,N
40.144,26.285,314.1,1.1,1,2019-08-11,00:05,A,89,6.0NRT,295.7,12.5,N
40.149,26.292,311.3,1.1,1,2019-08-11,00:05,A,82,6.0NRT,294.9,10.5,N
48.491,34.983,301.9,1.1,1.1,2019-08-11,00:05,A,45,6.0NRT,289,7.3,N
30.532,26.089,306,1,1,2019-08-11,00:10,A,67,6.0NRT,293.9,6.6,N
30.674,26.373,302,1,1,2019-08-11,00:10,A,46,6.0NRT,291.9,4.7,N
69.517,140.641,340.8,2.6,1.6,2019-08-11,01:10,T,92,6.0NRT,293.7,161.4,D
69.516,140.711,325,2.6,1.6,2019-08-11,01:10,T,54,6.0NRT,292.1,73.1,D
69.502,140.707,326.4,2.6,1.6,2019-08-11,01:10,T,64,6.0NRT,292.5,78.9,D
69.529,140.569,344.1,2.7,1.6,2019-08-11,01:10,T,93,6.0NRT,293.9,184.5,D
69.528,140.64,337.9,2.6,1.6,2019-08-11,01:10,T,90,6.0NRT,292.6,142.5,D
69.514,140.635,334.1,2.6,1.6,2019-08-11,01:10,T,88,6.0NRT,293.6,120.2,D
69.512,140.705,331.4,2.6,1.6,2019-08-11,01:10,T,87,6.0NRT,293,108,D
69.498,140.7,315.8,2.6,1.6,2019-08-11,01:10,T,69,6.0NRT,292,41.3,D
69.454,140.758,314.8,2.6,1.6,2019-08-11,01:10,T,58,6.0NRT,292.7,36.3,D
69.44,140.754,316.8,2.6,1.6,2019-08-11,01:10,T,76,6.0NRT,293.5,44.6,D
69.45,140.748,313.5,2.6,1.6,2019-08-11,01:10,T,35,6.0NRT,293.3,31,D
69.312,136.995,304.2,3.3,1.7,2019-08-11,01:10,T,46,6.0NRT,290.8,22,D
69.302,136.984,303.2,3.3,1.7,2019-08-11,01:10,T,36,6.0NRT,290.8,19.2,D
69.059,139.038,324.2,2.9,1.6,2019-08-11,01:10,T,42,6.0NRT,284.2,91.2,D
69.063,136.01,319.8,3.6,1.8,2019-08-11,01:10,T,51,6.0NRT,293.6,84.3,D
69.046,135.732,327.4,3.6,1.8,2019-08-11,01:10,T,80,6.0NRT,290.2,134.1,D
69.046,135.823,326.3,3.6,1.8,2019-08-11,01:10,T,70,6.0NRT,293.3,124.2,D
69.055,135.819,325.4,3.6,1.8,2019-08-11,01:10,T,62,6.0NRT,292.1,113.9,D
68.967,139.169,317.8,2.9,1.6,2019-08-11,01:10,T,37,6.0NRT,292.5,54.9,D
68.927,136.271,320.7,3.5,1.8,2019-08-11,01:10,T,78,6.0NRT,294,86.5,D
68.919,136.26,325.4,3.5,1.8,2019-08-11,01:10,T,83,6.0NRT,294.4,116.7,D
68.885,135.638,305.8,3.6,1.8,2019-08-11,01:10,T,53,6.0NRT,292.3,22.1,D
68.886,135.723,308.3,3.6,1.8,2019-08-11,01:10,T,65,6.0NRT,293.5,32.9,D
58.948,159.889,333.4,1.4,1.2,2019-08-11,01:10,T,85,6.0NRT,297.7,46.6,D
58.953,159.867,322.5,1.3,1.2,2019-08-11,01:10,T,75,6.0NRT,295.3,26.1,D
61.946,166.61,317.1,1.8,1.3,2019-08-11,01:10,T,67,6.0NRT,290.7,29.8,D
61.957,166.622,313.3,1.8,1.3,2019-08-11,01:10,T,69,6.0NRT,291,21.6,D
61.952,166.622,323.5,1.8,1.3,2019-08-11,01:10,T,72,6.0NRT,291,41.8,D
68.153,136.889,317.3,3.3,1.7,2019-08-11,01:10,T,77,6.0NRT,293.7,69.3,D
68.163,136.893,315.2,3.3,1.7,2019-08-11,01:10,T,75,6.0NRT,293.7,57.6,D
68.227,136.656,311.1,3.4,1.7,2019-08-11,01:10,T,70,6.0NRT,294,42.3,D
68.272,137.058,312.9,3.3,1.7,2019-08-11,01:10,T,40,6.0NRT,294,36.5,D
68.221,136.663,310.3,3.4,1.7,2019-08-11,01:10,T,69,6.0NRT,293.9,35.3,D
68.266,137.066,311,3.3,1.7,2019-08-11,01:10,T,48,6.0NRT,294.3,33.6,D
68.282,137.068,311.7,3.3,1.7,2019-08-11,01:10,T,54,6.0NRT,293.2,39.7,D
68.284,136.741,305.5,3.4,1.7,2019-08-11,01:10,T,51,6.0NRT,293.5,21.9,D
67.48,136.326,307.7,3.4,1.7,2019-08-11,01:10,T,33,6.0NRT,292.9,29,D
67.505,136.331,307.6,3.4,1.7,2019-08-11,01:10,T,48,6.0NRT,292.9,30.5,D
67.506,136.25,306,3.5,1.8,2019-08-11,01:10,T,35,6.0NRT,291.9,24.3,D
67.514,136.259,307.7,3.5,1.8,2019-08-11,01:10,T,52,6.0NRT,291.7,30.2,D
68.387,136.905,353.9,3.3,1.7,2019-08-11,01:10,T,97,6.0NRT,295.7,384.6,D
68.403,136.906,340.7,3.3,1.7,2019-08-11,01:10,T,80,6.0NRT,295.7,232.8,D
68.397,136.914,365.9,3.3,1.7,2019-08-11,01:10,T,100,6.0NRT,297.7,569.9,D
68.773,135.533,320.2,3.7,1.8,2019-08-11,01:10,T,45,6.0NRT,292.3,93.5,D
68.79,135.534,324,3.7,1.8,2019-08-11,01:10,T,71,6.0NRT,293.5,117.1,D
68.78,135.542,330,3.7,1.8,2019-08-11,01:10,T,86,6.0NRT,293.7,168.4,D
68.534,145.775,333.9,1.8,1.3,2019-08-11,01:10,T,67,6.0NRT,293.7,73.7,D
68.797,135.634,318.4,3.6,1.8,2019-08-11,01:10,T,74,6.0NRT,292.7,84.6,D
68.796,135.543,312.8,3.7,1.8,2019-08-11,01:10,T,44,6.0NRT,292.7,53.6,D
68.541,145.871,313.6,1.8,1.3,2019-08-11,01:10,T,0,6.0NRT,291.5,21.1,D
68.544,145.826,314.1,1.8,1.3,2019-08-11,01:10,T,55,6.0NRT,293.7,24.4,D
68.826,138.767,309,3,1.6,2019-08-11,01:10,T,46,6.0NRT,293.2,24.8,D
68.844,138.544,337.3,3,1.6,2019-08-11,01:10,T,90,6.0NRT,295.3,169,D
67.012,160.47,311.5,1,1,2019-08-11,01:10,T,70,6.0NRT,295,7.7,D
67.015,160.448,319.7,1,1,2019-08-11,01:10,T,79,6.0NRT,295.6,14.9,D
68.86,138.469,331.1,3,1.7,2019-08-11,01:10,T,87,6.0NRT,293.5,125.7,D
68.894,135.719,308.3,3.6,1.8,2019-08-11,01:10,T,65,6.0NRT,293.5,33.4,D
68.843,138.549,336.5,3,1.6,2019-08-11,01:10,T,90,6.0NRT,294.8,158.8,D
68.827,138.692,308.7,3,1.6,2019-08-11,01:10,T,23,6.0NRT,293.4,22.2,D
70.743,146.258,306.8,1.9,1.4,2019-08-11,01:10,T,52,6.0NRT,293,12.9,D
70.739,146.251,305.3,1.9,1.4,2019-08-11,01:10,T,41,6.0NRT,293,9.7,D
68.859,138.475,334.7,3,1.7,2019-08-11,01:10,T,89,6.0NRT,294,153.4,D
70.913,140.394,337.2,2.7,1.6,2019-08-11,01:10,T,58,6.0NRT,293.8,142.6,D
70.87,140.387,328.4,2.7,1.6,2019-08-11,01:10,T,74,6.0NRT,293.6,95,D
70.868,140.379,332,2.7,1.6,2019-08-11,01:10,T,87,6.0NRT,293.7,116,D
67.51,164.153,316.4,1.1,1,2019-08-11,01:10,T,77,6.0NRT,293.7,13.5,D
69.719,140.828,309,2.6,1.6,2019-08-11,01:10,T,61,6.0NRT,291.1,23.6,D
69.717,140.899,316.3,2.6,1.6,2019-08-11,01:10,T,75,6.0NRT,291.6,45.2,D
69.713,140.892,318.3,2.6,1.6,2019-08-11,01:10,T,68,6.0NRT,291.9,48.9,D
69.665,140.533,305.8,2.7,1.6,2019-08-11,01:10,T,55,6.0NRT,290.4,20.1,D
69.61,141.08,324.4,2.6,1.5,2019-08-11,01:10,T,82,6.0NRT,292.5,76,D
