latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
68.505,145.865,313.5,4.3,1.9,2019-08-09,00:00,A,0,6.0NRT,289.7,95.3,D
68.503,145.869,312.7,4.3,1.9,2019-08-09,00:00,A,42,6.0NRT,289.9,91.2,D
68.535,145.927,312.6,4.3,1.9,2019-08-09,00:00,A,0,6.0NRT,290.2,89,D
30.535,26.079,308.1,1.2,1.1,2019-08-09,00:20,A,74,6.0NRT,292.7,11,N
30.533,26.091,312.2,1.2,1.1,2019-08-09,00:20,A,84,6.0NRT,293.9,15,N
69.495,140.542,304.7,2.2,1.4,2019-08-09,01:20,T,32,6.0NRT,287.3,14.3,D
68.214,136.703,313.5,2.7,1.6,2019-08-09,01:20,T,58,6.0NRT,286.7,47.9,D
68.869,135.688,320.2,3,1.6,2019-08-09,01:20,T,72,6.0NRT,287.7,82.4,D
68.522,145.955,318.4,1.5,1.2,2019-08-09,01:20,T,0,6.0NRT,296.7,24.6,D
68.536,145.924,315.7,1.5,1.2,2019-08-09,01:20,T,0,6.0NRT,296.2,19.7,D
68.524,145.961,318.8,1.5,1.2,2019-08-09,01:20,T,0,6.0NRT,296.5,24.5,D
69.497,140.535,308.8,2.2,1.4,2019-08-09,01:20,T,53,6.0NRT,287.1,21.1,D
56.811,135.679,308.5,2.4,1.5,2019-08-09,01:25,T,50,6.0NRT,293.6,24.6,D
56.818,135.689,316.1,2.4,1.5,2019-08-09,01:25,T,76,6.0NRT,294.4,46.8,D
40.533,141.5,330.1,1,1,2019-08-09,01:30,T,82,6.0NRT,302.5,16.2,D
34.071,136.196,317.2,1.2,1.1,2019-08-09,01:30,T,45,6.0NRT,299.3,11.3,D
35.026,136.88,326.7,1.2,1.1,2019-08-09,01:30,T,36,6.0NRT,303.7,8.1,D
35.028,136.867,332.8,1.2,1.1,2019-08-09,01:30,T,0,6.0NRT,303.8,18.2,D
35.493,135.752,319.9,1.4,1.2,2019-08-09,01:30,T,29,6.0NRT,302.5,11.8,D
35.684,135.026,318.3,1.5,1.2,2019-08-09,01:30,T,54,6.0NRT,301.7,14.3,D
35.333,138.754,312.4,1,1,2019-08-09,01:30,T,0,6.0NRT,297.5,6.8,D
35.337,138.799,315.9,1,1,2019-08-09,01:30,T,28,6.0NRT,302.3,8.3,D
35.872,137.212,317.5,1.2,1.1,2019-08-09,01:30,T,48,6.0NRT,304,10.3,D
36.723,139.694,321.4,1,1,2019-08-09,01:30,T,43,6.0NRT,303.6,9.4,D
35.932,140.681,328.8,1,1,2019-08-09,01:30,T,0,6.0NRT,304.2,11.9,D
68.523,145.984,308.6,1.4,1.2,2019-08-09,01:40,A,0,6.0NRT,292.5,10,D
68.516,145.955,313.6,1.4,1.2,2019-08-09,01:40,A,0,6.0NRT,295.6,16.1,D
68.538,145.913,311.5,1.4,1.2,2019-08-09,01:40,A,0,6.0NRT,294.7,12.7,D
69.5,140.529,314.8,1.6,1.3,2019-08-09,01:40,A,74,6.0NRT,290,22.1,D
69.49,140.496,307.2,1.6,1.3,2019-08-09,01:40,A,34,6.0NRT,289.8,10.9,D
63.884,116.91,318.2,1.7,1.3,2019-08-09,03:00,T,22,6.0NRT,300.5,18.5,D
64.178,108.797,315.3,3.3,1.7,2019-08-09,03:00,T,22,6.0NRT,296.5,49.2,D
63.859,116.758,315.4,1.7,1.3,2019-08-09,03:00,T,74,6.0NRT,298.9,20.8,D
64.131,108.796,310.6,3.3,1.7,2019-08-09,03:00,T,34,6.0NRT,295.7,35.4,D
64.086,108.589,307.5,3.4,1.7,2019-08-09,03:00,T,32,6.0NRT,296,25.2,D
63.673,116.284,315.1,1.8,1.3,2019-08-09,03:00,T,41,6.0NRT,298.8,19.2,D
63.71,107.905,307.3,3.5,1.8,2019-08-09,03:00,T,46,6.0NRT,296.3,25.4,D
63.346,116.773,309.5,1.7,1.3,2019-08-09,03:00,T,42,6.0NRT,296.3,12.4,D
63.335,116.942,325.8,1.7,1.3,2019-08-09,03:00,T,59,6.0NRT,296.6,40.5,D
63.702,107.896,307.3,3.5,1.8,2019-08-09,03:00,T,49,6.0NRT,296,26.9,D
63.327,116.932,324.6,1.7,1.3,2019-08-09,03:00,T,56,6.0NRT,297.4,35.8,D
63.171,118.4,331.6,1.5,1.2,2019-08-09,03:00,T,86,6.0NRT,299.3,47.8,D
63.169,118.43,316.6,1.5,1.2,2019-08-09,03:00,T,39,6.0NRT,297.7,16.8,D
63.256,116.943,317.4,1.7,1.3,2019-08-09,03:00,T,53,6.0NRT,295.7,22,D
63.257,116.972,326.3,1.7,1.3,2019-08-09,03:00,T,62,6.0NRT,297,40,D
63.237,116.584,321.7,1.7,1.3,2019-08-09,03:00,T,66,6.0NRT,297.6,32.1,D
63.103,118.399,310.2,1.5,1.2,2019-08-09,03:00,T,62,6.0NRT,297.1,10.4,D
62.949,119.81,328,1.3,1.2,2019-08-09,03:00,T,63,6.0NRT,297.6,35.7,D
62.947,119.836,329.7,1.3,1.1,2019-08-09,03:00,T,64,6.0NRT,299.1,37.4,D
63.166,116.942,333.6,1.7,1.3,2019-08-09,03:00,T,87,6.0NRT,298.3,60.1,D
63.163,116.975,314,1.7,1.3,2019-08-09,03:00,T,23,6.0NRT,296.3,15.8,D
63.004,118.928,320.7,1.4,1.2,2019-08-09,03:00,T,33,6.0NRT,296.3,21.7,D
63.166,116.968,317.9,1.7,1.3,2019-08-09,03:00,T,30,6.0NRT,297.1,22.1,D
63.157,116.931,318.2,1.7,1.3,2019-08-09,03:00,T,38,6.0NRT,295.9,22.8,D
63.001,118.919,318,1.4,1.2,2019-08-09,03:00,T,67,6.0NRT,296.5,18.7,D
62.999,118.948,324.3,1.4,1.2,2019-08-09,03:00,T,81,6.0NRT,296.3,30.3,D
63.46,110.171,339.6,2.9,1.6,2019-08-09,03:00,T,0,6.0NRT,296.8,188.4,D
63.167,116.624,308.9,1.7,1.3,2019-08-09,03:00,T,41,6.0NRT,296.3,12,D
62.75,121.444,313.5,1.2,1.1,2019-08-09,03:00,T,60,6.0NRT,296.5,9.6,D
63.046,117.969,317.1,1.5,1.2,2019-08-09,03:00,T,74,6.0NRT,299.8,20.9,D
63.017,117.896,327.1,1.6,1.2,2019-08-09,03:00,T,82,6.0NRT,299,38.5,D
63.006,117.892,319.2,1.6,1.2,2019-08-09,03:00,T,65,6.0NRT,297.8,23.1,D
62.821,119.904,319.9,1.3,1.1,2019-08-09,03:00,T,74,6.0NRT,298.5,19,D
62.818,119.93,324.7,1.3,1.1,2019-08-09,03:00,T,81,6.0NRT,300.8,26.5,D
62.808,119.925,327.4,1.3,1.1,2019-08-09,03:00,T,81,6.0NRT,295.7,29.9,D
