latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
69.718,141.134,313.6,3.4,1.7,2019-07-21,00:50,T,74,6.0NRT,284.8,81,D
69.572,140.378,305.2,3.6,1.8,2019-07-21,00:50,T,60,6.0NRT,284,47.4,D
69.579,140.383,302.1,3.6,1.8,2019-07-21,00:50,T,35,6.0NRT,281.8,34,D
69.709,141.215,317.4,3.4,1.7,2019-07-21,00:50,T,29,6.0NRT,282.4,83.9,D
69.709,141.125,325.3,3.4,1.7,2019-07-21,00:50,T,65,6.0NRT,286.3,135.8,D
69.702,141.135,376.5,3.4,1.7,2019-07-21,00:50,T,87,6.0NRT,290.4,841.4,D
69.718,141.223,308.2,3.4,1.7,2019-07-21,00:50,T,58,6.0NRT,282,56.6,D
43.186,141.008,311.3,2.3,1.5,2019-07-21,01:00,T,11,6.0NRT,295.2,20.7,D
27.251,140.877,310.5,1.5,1.2,2019-07-21,01:00,T,33,6.0NRT,293.5,12.5,D
69.569,140.363,322.6,2.3,1.5,2019-07-21,01:10,A,73,6.0NRT,289,64.9,D
67.404,133.026,315.2,4.3,1.9,2019-07-21,01:10,A,60,6.0NRT,280.1,115.7,D
69.705,141.155,351.8,2.2,1.4,2019-07-21,01:10,A,96,6.0NRT,286.4,210.7,D
69.714,141.128,331.4,2.2,1.4,2019-07-21,01:10,A,84,6.0NRT,285.4,96.7,D
69.7,141.087,328.6,2.2,1.4,2019-07-21,01:10,A,82,6.0NRT,286.2,85.5,D
69.698,141.089,327,2.2,1.4,2019-07-21,01:10,A,80,6.0NRT,287.2,80.6,D
69.712,141.13,335.5,2.2,1.4,2019-07-21,01:10,A,87,6.0NRT,286.1,116.4,D
69.572,140.363,314.8,2.3,1.5,2019-07-21,01:10,A,55,6.0NRT,289.2,43.9,D
64.546,113.587,306,4.2,1.9,2019-07-21,02:30,T,42,6.0NRT,292.2,40.8,D
65.935,123.485,324.8,2,1.4,2019-07-21,02:30,T,47,6.0NRT,299.1,43.3,D
65.89,123.599,323.1,2,1.4,2019-07-21,02:30,T,25,6.0NRT,299.5,35.3,D
65.887,123.642,329.9,2,1.4,2019-07-21,02:30,T,61,6.0NRT,296.3,59.4,D
65.863,123.635,330.5,2,1.4,2019-07-21,02:30,T,46,6.0NRT,301,57.3,D
65.824,123.402,360.2,2,1.4,2019-07-21,02:30,T,100,6.0NRT,299.8,216,D
65.823,123.394,359.5,2,1.4,2019-07-21,02:30,T,99,6.0NRT,300.2,213.9,D
65.821,123.437,327.4,2,1.4,2019-07-21,02:30,T,61,6.0NRT,295.2,47.5,D
65.813,123.346,345.3,2,1.4,2019-07-21,02:30,T,88,6.0NRT,299.2,126.8,D
65.811,123.39,383.8,2,1.4,2019-07-21,02:30,T,94,6.0NRT,299.8,447.4,D
65.809,123.433,319.1,2,1.4,2019-07-21,02:30,T,36,6.0NRT,293.8,26.7,D
65.798,123.386,334.7,2,1.4,2019-07-21,02:30,T,67,6.0NRT,295.6,78.4,D
65.785,123.647,322.1,2,1.4,2019-07-21,02:30,T,23,6.0NRT,300.5,35.7,D
65.725,123.585,350.8,2,1.4,2019-07-21,02:30,T,96,6.0NRT,296.3,152.2,D
65.723,123.628,333,2,1.4,2019-07-21,02:30,T,60,6.0NRT,295.4,67,D
65.721,123.67,352.8,2,1.4,2019-07-21,02:30,T,97,6.0NRT,297.9,165.2,D
65.742,123.453,315,2,1.4,2019-07-21,02:30,T,39,6.0NRT,294.6,23.7,D
65.733,123.625,325.5,2,1.4,2019-07-21,02:30,T,19,6.0NRT,296.4,44.9,D
65.723,123.579,342.4,2,1.4,2019-07-21,02:30,T,92,6.0NRT,295.3,112.4,D
65.721,123.622,332,2,1.4,2019-07-21,02:30,T,66,6.0NRT,294.5,68.2,D
65.718,123.664,359.4,2,1.4,2019-07-21,02:30,T,99,6.0NRT,298.1,214.4,D
65.716,123.707,323.7,1.9,1.4,2019-07-21,02:30,T,77,6.0NRT,293.2,48,D
64.117,128.908,324.2,1.3,1.1,2019-07-21,02:30,T,82,6.0NRT,296.1,28.3,D
64.115,128.934,310.8,1.3,1.1,2019-07-21,02:30,T,61,6.0NRT,294.9,10.6,D
64.549,113.592,305.2,4.2,1.9,2019-07-21,02:30,T,35,6.0NRT,292,37.4,D
64.496,113.506,311.3,4.2,1.9,2019-07-21,02:30,T,38,6.0NRT,290.4,61.6,D
64.002,125.534,313.9,1.6,1.2,2019-07-21,02:30,T,0,6.0NRT,296.1,15.7,D
64,125.567,309.6,1.6,1.2,2019-07-21,02:30,T,0,6.0NRT,296.7,10.5,D
64.254,113.939,310.2,4.1,1.9,2019-07-21,02:30,T,65,6.0NRT,291.9,62,D
64.232,113.511,316,4.2,1.9,2019-07-21,02:30,T,68,6.0NRT,291.7,93.7,D
63.498,129.952,315.4,1.2,1.1,2019-07-21,02:30,T,29,6.0NRT,294.1,12.9,D
63.491,129.923,320.7,1.2,1.1,2019-07-21,02:30,T,80,6.0NRT,295.9,20.7,D
63.488,129.947,311.9,1.2,1.1,2019-07-21,02:30,T,56,6.0NRT,293.4,10.6,D
64.251,113.93,309.1,4.1,1.9,2019-07-21,02:30,T,64,6.0NRT,291.9,57.6,D
64.23,113.502,315.2,4.2,1.9,2019-07-21,02:30,T,62,6.0NRT,291.5,89.2,D
64.195,113.505,312.9,4.2,1.9,2019-07-21,02:30,T,38,6.0NRT,291.5,74.2,D
64.193,113.5,314.1,4.2,1.9,2019-07-21,02:30,T,70,6.0NRT,291.5,87,D
63.238,116.749,319.3,3.2,1.7,2019-07-21,02:30,T,69,6.0NRT,290.8,78.1,D
63.237,116.814,323.2,3.2,1.7,2019-07-21,02:30,T,70,6.0NRT,293.9,95.5,D
63.023,118.007,304.5,2.9,1.6,2019-07-21,02:30,T,21,6.0NRT,293.2,16.4,D
62.947,120.113,305.7,2.4,1.5,2019-07-21,02:30,T,31,6.0NRT,294.6,13.8,D
62.977,118.06,315.9,2.9,1.6,2019-07-21,02:30,T,43,6.0NRT,295,47.7,D
62.94,120.104,305.6,2.4,1.5,2019-07-21,02:30,T,42,6.0NRT,293.7,14.2,D
62.977,118.052,317.9,2.9,1.6,2019-07-21,02:30,T,77,6.0NRT,295.2,60.2,D
62.986,116.84,303.6,3.2,1.7,2019-07-21,02:30,T,43,6.0NRT,293.4,20.6,D
62.962,118.049,338.8,2.9,1.6,2019-07-21,02:30,T,91,6.0NRT,294.8,179.2,D
62.706,121.291,313.9,2.2,1.4,2019-07-21,02:30,T,50,6.0NRT,296.8,26.6,D
62.766,116.562,305.4,3.2,1.7,2019-07-21,02:30,T,57,6.0NRT,292.6,28.5,D
62.751,116.497,302.4,3.3,1.7,2019-07-21,02:30,T,35,6.0NRT,292,19.3,D
62.77,116.557,305.3,3.2,1.7,2019-07-21,02:30,T,59,6.0NRT,292.4,28.7,D
62.413,121.79,308,2.1,1.4,2019-07-21,02:30,T,32,6.0NRT,293.1,17.6,D
62.402,121.746,307.2,2.1,1.4,2019-07-21,02:30,T,11,6.0NRT,292.7,16.4,D
62.418,118.456,314,2.8,1.6,2019-07-21,02:30,T,42,6.0NRT,294.9,40.6,D
62.417,118.51,319.2,2.7,1.6,2019-07-21,02:30,T,66,6.0NRT,295.1,59.4,D
61.92,119.239,344.5,2.5,1.5,2019-07-21,02:30,T,94,6.0NRT,294.6,189.5,D
61.918,119.288,325.7,2.5,1.5,2019-07-21,02:30,T,63,6.0NRT,294.4,78.9,D
61.906,119.236,350.5,2.5,1.5,2019-07-21,02:30,T,96,6.0NRT,293.6,234.8,D
61.904,119.285,323.9,2.5,1.5,2019-07-21,02:30,T,42,6.0NRT,295.2,70.5,D
61.891,119.284,331.1,2.5,1.5,2019-07-21,02:30,T,54,6.0NRT,294.8,98.6,D
61.877,119.281,337,2.5,1.5,2019-07-21,02:30,T,86,6.0NRT,295.1,134.9,D
61.915,119.23,356.2,2.5,1.5,2019-07-21,02:30,T,98,6.0NRT,294.9,287.6,D
61.913,119.279,341.4,2.5,1.5,2019-07-21,02:30,T,92,6.0NRT,296.1,164,D
61.886,119.275,338.5,2.5,1.5,2019-07-21,02:30,T,91,6.0NRT,295.3,147.7,D
61.872,119.272,327.7,2.5,1.5,2019-07-21,02:30,T,77,6.0NRT,294.1,89.6,D
61.719,120.797,324,2.2,1.4,2019-07-21,02:30,T,78,6.0NRT,296.4,58.5,D
61.708,120.752,322.9,2.2,1.4,2019-07-21,02:30,T,31,6.0NRT,296.1,50.2,D
61.665,120.828,313.2,2.2,1.4,2019-07-21,02:30,T,39,6.0NRT,294.1,27.4,D
61.668,120.821,322.5,2.2,1.4,2019-07-21,02:30,T,64,6.0NRT,294.8,53,D
61.352,112.792,309,4.4,1.9,2019-07-21,02:30,T,68,6.0NRT,290.1,77.6,D
60.259,130.638,319.7,1.1,1,2019-07-21,02:30,T,75,6.0NRT,298.1,17.1,D
60.256,130.657,315.2,1.1,1,2019-07-21,02:30,T,75,6.0NRT,296,12.9,D
60.439,111.844,305.2,4.8,2,2019-07-21,02:30,T,26,6.0NRT,290.7,55.2,D
60.446,114.873,300,3.7,1.8,2019-07-21,02:30,T,21,6.0NRT,289.9,26.3,D
60.423,111.841,308.7,4.8,2,2019-07-21,02:30,T,67,6.0NRT,290.5,85.3,D
66.278,118.043,320.8,3,1.6,2019-07-21,02:30,T,78,6.0NRT,294.8,73.8,D
66.279,117.975,315.6,3,1.7,2019-07-21,02:30,T,72,6.0NRT,296.7,50.8,D
66.277,118.049,317.3,3,1.6,2019-07-21,02:30,T,56,6.0NRT,294.6,53.4,D
66.278,117.98,318.6,3,1.7,2019-07-21,02:30,T,56,6.0NRT,296.8,60.1,D
66.278,124.494,323.8,1.9,1.3,2019-07-21,02:30,T,0,6.0NRT,298.3,45.5,D
66.32,124.473,358.5,1.9,1.3,2019-07-21,02:30,T,0,6.0NRT,298.9,193.3,D
66.337,124.607,336.8,1.9,1.3,2019-07-21,02:30,T,0,6.0NRT,296.7,79.2,D
66.388,124.581,333.3,1.9,1.3,2019-07-21,02:30,T,57,6.0NRT,298.9,60.9,D
66.397,124.627,365.1,1.9,1.3,2019-07-21,02:30,T,100,6.0NRT,295.2,231.1,D
66.4,124.585,391.1,1.9,1.3,2019-07-21,02:30,T,100,6.0NRT,303.9,485.7,D
66.412,124.59,340.5,1.9,1.3,2019-07-21,02:30,T,82,6.0NRT,298.6,90.6,D
66.39,124.63,338.8,1.9,1.3,2019-07-21,02:30,T,72,6.0NRT,292.4,83.9,D
66.392,124.588,379.4,1.9,1.3,2019-07-21,02:30,T,100,6.0NRT,299.2,352.4,D
66.402,124.635,334.4,1.9,1.3,2019-07-21,02:30,T,73,6.0NRT,293.4,70.3,D
66.404,124.593,379.2,1.9,1.3,2019-07-21,02:30,T,100,6.0NRT,302,353,D
66.416,124.597,339.5,1.9,1.3,2019-07-21,02:30,T,74,6.0NRT,296.4,85.9,D
66.418,124.555,335,1.9,1.3,2019-07-21,02:30,T,79,6.0NRT,301.6,63.4,D
66.43,124.559,354.5,1.9,1.3,2019-07-21,02:30,T,97,6.0NRT,301.7,159.7,D
66.469,124.529,330.7,1.9,1.3,2019-07-21,02:30,T,55,6.0NRT,298.4,56.2,D
66.483,124.491,327.6,1.9,1.3,2019-07-21,02:30,T,71,6.0NRT,298.2,49.9,D
66.486,124.449,331.7,1.9,1.3,2019-07-21,02:30,T,77,6.0NRT,301.3,62.4,D
66.498,124.453,317.2,1.9,1.3,2019-07-21,02:30,T,55,6.0NRT,297.9,26.6,D
66.487,124.501,318.9,1.9,1.3,2019-07-21,02:30,T,59,6.0NRT,296.2,29.7,D
66.489,124.458,342.9,1.9,1.3,2019-07-21,02:30,T,93,6.0NRT,300.8,110.5,D
67.404,122.233,325,2.3,1.5,2019-07-21,02:30,T,79,6.0NRT,300,53.5,D
67.4,122.238,327.6,2.3,1.5,2019-07-21,02:30,T,84,6.0NRT,299.6,61.6,D
68.886,135.783,328.1,1.1,1,2019-07-21,02:30,T,59,6.0NRT,292,25.5,D
68.923,135.552,317.5,1.1,1.1,2019-07-21,02:30,T,29,6.0NRT,285.9,14,D
69.4,140.744,304.7,1,1,2019-07-21,02:30,T,40,6.0NRT,289.5,5.7,D
69.407,140.696,304.1,1,1,2019-07-21,02:30,T,44,6.0NRT,290.1,5.1,D
69.565,140.351,307.2,1,1,2019-07-21,02:30,T,49,6.0NRT,291.5,7.3,D
69.693,141.147,344.7,1,1,2019-07-21,02:30,T,21,6.0NRT,286.6,48.3,D
69.696,141.123,359.1,1,1,2019-07-21,02:30,T,66,6.0NRT,290.1,79.1,D
69.7,141.099,350.8,1,1,2019-07-21,02:30,T,77,6.0NRT,288,61,D
69.705,141.134,345.1,1,1,2019-07-21,02:30,T,31,6.0NRT,283.6,45.3,D
69.708,141.109,360.7,1,1,2019-07-21,02:30,T,100,6.0NRT,290.5,84.5,D
69.715,141.061,312.5,1,1,2019-07-21,02:30,T,50,6.0NRT,282.2,10.3,D
66.264,117.974,315.1,3,1.7,2019-07-21,02:30,T,53,6.0NRT,295.2,46.1,D
19.278,166.64,311.3,1.5,1.2,2019-07-21,02:30,A,38,6.0NRT,297.1,10.7,D
59.363,124.715,318.9,1.5,1.2,2019-07-21,02:30,T,79,6.0NRT,294.4,26.7,D
59.696,112.767,300.9,4.4,1.9,2019-07-21,02:30,T,32,6.0NRT,289.5,34.7,D
59.701,113.617,316.1,4.1,1.9,2019-07-21,02:30,T,76,6.0NRT,291.8,105.9,D
59.702,113.693,308.8,4.1,1.9,2019-07-21,02:30,T,68,6.0NRT,291.2,60.7,D
59.698,112.836,326.8,4.4,1.9,2019-07-21,02:30,T,74,6.0NRT,291.7,212.7,D
59.7,113.608,309.1,4.1,1.9,2019-07-21,02:30,T,41,6.0NRT,291.4,60,D
58.528,124.376,319.7,1.5,1.2,2019-07-21,02:35,T,75,6.0NRT,295,29.4,D
58.53,124.351,305.8,1.5,1.2,2019-07-21,02:35,T,32,6.0NRT,292.5,10,D
44.619,129.664,315.4,1.2,1.1,2019-07-21,02:35,T,29,6.0NRT,296.2,8.9,D
58.526,124.368,311.5,1.5,1.2,2019-07-21,02:35,T,54,6.0NRT,295.1,17,D
58.537,124.371,309.2,1.5,1.2,2019-07-21,02:35,T,63,6.0NRT,292.3,14.3,D
30.498,120.152,320.8,1.1,1,2019-07-21,02:40,T,35,6.0NRT,299.1,7.2,D
30.108,121.485,316.4,1,1,2019-07-21,02:40,T,18,6.0NRT,288.4,7.1,D
30.077,121.061,323.3,1,1,2019-07-21,02:40,T,34,6.0NRT,300.7,9,D
30.009,119.963,325.7,1.1,1,2019-07-21,02:40,T,18,6.0NRT,301.4,14.3,D
29.929,120.343,320.8,1,1,2019-07-21,02:40,T,40,6.0NRT,298.5,8,D
29.763,121.447,321.9,1,1,2019-07-21,02:40,T,54,6.0NRT,299.6,8.4,D
31.984,119.615,323,1.1,1.1,2019-07-21,02:40,T,21,6.0NRT,303.6,10.4,D
31.891,121.836,320.9,1,1,2019-07-21,02:40,T,0,6.0NRT,301.7,7.8,D
32.522,121.422,311.9,1,1,2019-07-21,02:40,T,41,6.0NRT,299,6.4,D
32.531,121.423,312.6,1,1,2019-07-21,02:40,T,32,6.0NRT,300.1,6.9,D
30.88,121.752,323.9,1,1,2019-07-21,02:40,T,32,6.0NRT,302.1,9.1,D
33.21,120.772,321.8,1.1,1,2019-07-21,02:40,T,32,6.0NRT,302.5,10.3,D
33.323,120.249,321.5,1.1,1,2019-07-21,02:40,T,45,6.0NRT,302.5,9,D
34.287,119.535,329.7,1.2,1.1,2019-07-21,02:40,T,64,6.0NRT,297.1,21.6,D
37.373,118.996,316.2,1.4,1.2,2019-07-21,02:40,T,40,6.0NRT,302.8,13.1,D
39.03,117.491,321.2,1.8,1.3,2019-07-21,02:40,T,57,6.0NRT,306,20.5,D
39.088,121.165,310.4,1.2,1.1,2019-07-21,02:40,T,37,6.0NRT,299.5,9.7,D
40.668,122.401,321.4,1.1,1,2019-07-21,02:40,T,46,6.0NRT,300.6,10.3,D
40.67,122.388,321.4,1.1,1,2019-07-21,02:40,T,32,6.0NRT,301.3,9.8,D
30.919,121.675,323.2,1,1,2019-07-21,02:40,T,64,6.0NRT,302.3,9.3,D
30.87,121.824,323,1,1,2019-07-21,02:40,T,18,6.0NRT,299.9,7.4,D
30.954,120.645,323.7,1,1,2019-07-21,02:40,T,0,6.0NRT,303.4,10.2,D
29.927,119.887,319.9,1.1,1,2019-07-21,02:40,T,26,6.0NRT,299.6,7.9,D
28.805,120.22,320.2,1,1,2019-07-21,02:40,T,48,6.0NRT,297.9,8.4,D
31.562,120.844,319.2,1,1,2019-07-21,02:40,T,28,6.0NRT,300.7,7.1,D
31.662,121.185,319.3,1,1,2019-07-21,02:40,T,0,6.0NRT,300.6,6.3,D
30.887,120.8,319.8,1,1,2019-07-21,02:40,T,57,6.0NRT,300,7.1,D
30.8,121.416,321.3,1,1,2019-07-21,02:40,T,54,6.0NRT,301.8,8,D
30.863,120.709,321.8,1,1,2019-07-21,02:40,T,32,6.0NRT,301.1,8.8,D
30.518,122.261,314.8,1,1,2019-07-21,02:40,T,41,6.0NRT,298.3,7.9,D
30.699,120.958,318.2,1,1,2019-07-21,02:40,T,39,6.0NRT,298,5.3,D
30.715,120.181,319.1,1.1,1,2019-07-21,02:40,T,61,6.0NRT,299.5,8.2,D
30.687,120.109,319,1.1,1,2019-07-21,02:40,T,62,6.0NRT,299.2,8.1,D
30.639,120.19,319.7,1.1,1,2019-07-21,02:40,T,46,6.0NRT,299.4,8,D
27.173,120.363,321.2,1,1,2019-07-21,02:40,T,72,6.0NRT,297.9,10.1,D
28.796,118.719,316.1,1.1,1.1,2019-07-21,02:40,T,64,6.0NRT,294.8,8.1,D
30.539,120.723,321.5,1,1,2019-07-21,02:40,T,49,6.0NRT,300,7.6,D
28.587,120.974,314,1,1,2019-07-21,02:40,T,35,6.0NRT,292.7,5.5,D
28.607,121.398,318.4,1,1,2019-07-21,02:40,T,52,6.0NRT,295.2,6.8,D
28.893,118.865,318.7,1.1,1.1,2019-07-21,02:40,T,64,6.0NRT,294.5,8.4,D
30.471,120.683,320.8,1,1,2019-07-21,02:40,T,61,6.0NRT,298.9,7.9,D
30.535,120.081,320.5,1.1,1,2019-07-21,02:40,T,38,6.0NRT,299.3,7.6,D
65.816,123.432,321.5,2.5,1.5,2019-07-21,02:45,A,49,6.0NRT,296.7,48.7,D
65.788,123.346,334,2.5,1.5,2019-07-21,02:45,A,75,6.0NRT,297.2,110.3,D
65.813,123.368,328,2.5,1.5,2019-07-21,02:45,A,67,6.0NRT,298.3,77.3,D
65.821,123.415,335.6,2.5,1.5,2019-07-21,02:45,A,84,6.0NRT,299.3,107.5,D
65.807,123.372,357,2.5,1.5,2019-07-21,02:45,A,86,6.0NRT,302.3,273,D
65.892,123.417,319,2.5,1.5,2019-07-21,02:45,A,34,6.0NRT,297.9,39.4,D
65.878,123.374,320.6,2.5,1.5,2019-07-21,02:45,A,50,6.0NRT,298.5,47.7,D
65.931,123.482,325.4,2.5,1.5,2019-07-21,02:45,A,71,6.0NRT,297.9,67.2,D
64.075,118.309,305.5,4.2,1.9,2019-07-21,02:45,A,26,6.0NRT,292.7,35.5,D
68.966,135.657,378.1,1,1,2019-07-21,02:45,A,100,6.0NRT,293.6,0,D
68.975,135.645,408.5,1,1,2019-07-21,02:45,A,100,6.0NRT,303.3,0,D
68.97,135.622,408.1,1.1,1,2019-07-21,02:45,A,100,6.0NRT,299.3,0,D
66.321,124.513,320.6,2.2,1.4,2019-07-21,02:45,A,0,6.0NRT,297.1,43.5,D
68.975,135.61,372.9,1.1,1,2019-07-21,02:45,A,100,6.0NRT,287.5,0,D
66.317,124.455,322,2.2,1.4,2019-07-21,02:45,A,0,6.0NRT,296.5,45.5,D
66.388,124.632,314.7,2.2,1.4,2019-07-21,02:45,A,58,6.0NRT,291,31,D
66.376,124.593,348.4,2.2,1.4,2019-07-21,02:45,A,78,6.0NRT,295.6,172,D
66.398,124.613,392.9,2.2,1.4,2019-07-21,02:45,A,100,6.0NRT,298.6,649.8,D
66.386,124.573,375.3,2.2,1.4,2019-07-21,02:45,A,94,6.0NRT,303.7,403.8,D
66.35,124.455,333.8,2.2,1.4,2019-07-21,02:45,A,0,6.0NRT,297.7,82.2,D
66.409,124.593,348.6,2.2,1.4,2019-07-21,02:45,A,95,6.0NRT,296.7,165.5,D
66.397,124.553,329.5,2.2,1.4,2019-07-21,02:45,A,65,6.0NRT,301,63.5,D
66.361,124.435,335.9,2.2,1.4,2019-07-21,02:45,A,67,6.0NRT,297.9,93.2,D
66.419,124.573,362.6,2.2,1.4,2019-07-21,02:45,A,100,6.0NRT,299.5,273.3,D
