latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
47.858,33.452,311.7,1,1,2019-06-17,00:00,A,83,6.0NRT,290.4,11.2,N
48.172,37.702,301.3,1.3,1.1,2019-06-17,00:00,A,40,6.0NRT,290,7.7,N
48.521,34.637,307.1,1,1,2019-06-17,00:00,A,70,6.0NRT,291.2,8.6,N
47.869,33.441,302.8,1,1,2019-06-17,00:00,A,51,6.0NRT,290.9,5.3,N
47.867,33.455,319.4,1,1,2019-06-17,00:00,A,98,6.0NRT,290.5,17.9,N
30.537,26.083,307.7,1,1,2019-06-17,00:05,A,72,6.0NRT,292.2,8.6,N
30.771,27.107,310.6,1,1,2019-06-17,00:05,A,80,6.0NRT,292.2,9.8,N
30.672,26.37,308.1,1,1,2019-06-17,00:05,A,74,6.0NRT,291.5,8.7,N
30.535,26.093,304,1,1,2019-06-17,00:05,A,58,6.0NRT,292.5,6.1,N
66.724,146.055,317.7,1.9,1.3,2019-06-17,01:05,T,58,6.0NRT,296.7,30.1,D
69.626,141.857,319.1,2.7,1.6,2019-06-17,01:05,T,77,6.0NRT,288,73.5,D
69.615,141.861,317.7,2.7,1.6,2019-06-17,01:05,T,75,6.0NRT,287.7,65.4,D
64.693,177.202,310.3,2.5,1.5,2019-06-17,01:05,T,23,6.0NRT,294.9,17.7,D
70.022,149.933,318.6,1.7,1.3,2019-06-17,01:05,T,74,6.0NRT,298.5,22.7,D
70.146,151.402,317.1,1.5,1.2,2019-06-17,01:05,T,52,6.0NRT,299.4,16.6,D
70.154,151.449,318.9,1.5,1.2,2019-06-17,01:05,T,42,6.0NRT,298.6,18.7,D
70.157,151.409,327.5,1.5,1.2,2019-06-17,01:05,T,82,6.0NRT,299.4,35.8,D
70.158,151.417,332.7,1.5,1.2,2019-06-17,01:05,T,86,6.0NRT,299.4,48.2,D
70.168,151.424,316.3,1.5,1.2,2019-06-17,01:05,T,58,6.0NRT,298.1,16.1,D
68.825,167.191,326.3,1.1,1,2019-06-17,01:05,T,81,6.0NRT,302.4,19.5,D
68.83,167.167,312.7,1.1,1,2019-06-17,01:05,T,55,6.0NRT,299.7,5.5,D
68.833,168.372,323.6,1.1,1,2019-06-17,01:05,T,78,6.0NRT,294,19.4,D
66.733,147.242,307.2,1.8,1.3,2019-06-17,01:05,T,50,6.0NRT,294.7,8.3,D
66.775,146.335,342.5,1.9,1.3,2019-06-17,01:05,T,92,6.0NRT,299.4,106.2,D
