latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
60.349,137.204,303.1,4,1.9,2019-07-28,01:00,T,43,6.0NRT,292.1,30,D
60.353,137.135,302.8,4,1.9,2019-07-28,01:00,T,35,6.0NRT,291.9,27.1,D
60.386,137.14,303.7,4,1.9,2019-07-28,01:00,T,37,6.0NRT,292.4,28.3,D
62.125,136.138,304.6,4.4,1.9,2019-07-28,01:00,T,51,6.0NRT,290.8,43.7,D
62.125,136.148,303.1,4.4,1.9,2019-07-28,01:00,T,43,6.0NRT,290.7,36.2,D
62.124,136.062,303.8,4.4,1.9,2019-07-28,01:00,T,48,6.0NRT,292,40.2,D
62.23,136.055,310,4.4,1.9,2019-07-28,01:00,T,21,6.0NRT,291.4,61,D
62.23,136.061,310.2,4.4,1.9,2019-07-28,01:00,T,53,6.0NRT,291.3,63.5,D
62.23,134.975,305.8,4.8,2,2019-07-28,01:00,T,49,6.0NRT,294.4,43.8,D
62.302,136.23,309.1,4.3,1.9,2019-07-28,01:00,T,53,6.0NRT,291.5,55.8,D
62.245,134.983,307.1,4.8,2,2019-07-28,01:00,T,47,6.0NRT,294.5,49.7,D
62.303,136.239,307.2,4.3,1.9,2019-07-28,01:00,T,50,6.0NRT,291.3,46.2,D
62.301,136.151,304.5,4.4,1.9,2019-07-28,01:00,T,15,6.0NRT,292.6,29.5,D
62.37,135.968,318.1,4.4,1.9,2019-07-28,01:00,T,67,6.0NRT,293.7,118.5,D
62.37,135.973,318.1,4.4,1.9,2019-07-28,01:00,T,67,6.0NRT,293.8,115.7,D
61.964,166.655,321.4,1.4,1.2,2019-07-28,01:00,T,81,6.0NRT,286.5,32.5,D
62.753,159.241,308.6,1,1,2019-07-28,01:00,T,64,6.0NRT,288.2,7.5,D
37.98,140.786,311.3,1.7,1.3,2019-07-28,01:05,T,34,6.0NRT,290.1,10.2,D
27.244,140.88,315.3,1.2,1.1,2019-07-28,01:10,T,50,6.0NRT,295.9,11.1,D
61.965,166.652,322.2,1.1,1,2019-07-28,01:10,A,81,6.0NRT,278.6,22.8,D
27.244,140.887,312.7,1.2,1.1,2019-07-28,01:10,T,31,6.0NRT,294.6,8,D
68.907,136.079,303.3,2.9,1.6,2019-07-28,01:15,A,50,6.0NRT,289,27.2,D
68.908,136.075,302.4,2.9,1.6,2019-07-28,01:15,A,38,6.0NRT,289.4,23.5,D
63.058,132.105,322.9,1,1,2019-07-28,02:35,T,79,6.0NRT,302.7,15.7,D
62.402,136.236,322.6,1,1,2019-07-28,02:35,T,54,6.0NRT,297.8,16,D
62.381,136.241,323.1,1,1,2019-07-28,02:35,T,54,6.0NRT,296.4,16.2,D
62.41,135.962,331.4,1,1,2019-07-28,02:35,T,81,6.0NRT,297.9,26.9,D
62.406,135.981,322,1,1,2019-07-28,02:35,T,79,6.0NRT,297.3,16,D
62.401,135.955,329.2,1,1,2019-07-28,02:35,T,67,6.0NRT,299.5,22.5,D
62.377,135.979,352.5,1,1,2019-07-28,02:35,T,97,6.0NRT,299.9,63.3,D
62.371,135.968,328.1,1,1,2019-07-28,02:35,T,78,6.0NRT,300.2,20.4,D
62.368,135.987,325.6,1,1,2019-07-28,02:35,T,70,6.0NRT,300.9,17,D
62.362,135.962,326,1,1,2019-07-28,02:35,T,82,6.0NRT,301.1,18.3,D
62.359,135.981,319.3,1,1,2019-07-28,02:35,T,67,6.0NRT,301.4,11,D
62.315,136.182,341.1,1,1,2019-07-28,02:35,T,91,6.0NRT,299.8,40.9,D
62.312,136.201,330.6,1,1,2019-07-28,02:35,T,61,6.0NRT,297.9,24.9,D
62.308,136.22,326.8,1,1,2019-07-28,02:35,T,61,6.0NRT,296.7,21.3,D
62.309,136.156,325.9,1,1,2019-07-28,02:35,T,56,6.0NRT,299.6,16.9,D
62.306,136.175,321.7,1,1,2019-07-28,02:35,T,66,6.0NRT,299.5,13.7,D
62.303,136.194,324.5,1,1,2019-07-28,02:35,T,78,6.0NRT,298.9,18.1,D
62.3,136.213,348.1,1,1,2019-07-28,02:35,T,95,6.0NRT,300,57.1,D
62.296,136.232,362.1,1,1,2019-07-28,02:35,T,100,6.0NRT,299.3,93.5,D
62.304,136.13,318.6,1,1,2019-07-28,02:35,T,51,6.0NRT,300.3,9.3,D
62.288,136.225,360.7,1,1,2019-07-28,02:35,T,100,6.0NRT,299.2,87.7,D
62.279,136.218,333,1,1,2019-07-28,02:35,T,56,6.0NRT,296.6,27.4,D
62.27,136.212,322.5,1,1,2019-07-28,02:35,T,31,6.0NRT,295.9,14.8,D
62.248,136.172,330.5,1,1,2019-07-28,02:35,T,39,6.0NRT,297,24.2,D
62.248,136.123,311.5,1,1,2019-07-28,02:35,T,65,6.0NRT,296.5,8.2,D
62.245,136.142,323.2,1,1,2019-07-28,02:35,T,80,6.0NRT,296.6,19.8,D
62.242,136.161,325.2,1,1,2019-07-28,02:35,T,81,6.0NRT,296.4,21.9,D
62.232,136.045,321.9,1,1,2019-07-28,02:35,T,61,6.0NRT,299.2,13.3,D
62.229,136.064,346.3,1,1,2019-07-28,02:35,T,94,6.0NRT,298.6,52.2,D
62.22,136.058,345.2,1,1,2019-07-28,02:35,T,93,6.0NRT,299,48.3,D
62.217,136.076,321.7,1,1,2019-07-28,02:35,T,34,6.0NRT,296.6,14.7,D
62.211,136.051,335.8,1,1,2019-07-28,02:35,T,58,6.0NRT,298.4,30.3,D
62.209,136.006,322.8,1,1,2019-07-28,02:35,T,33,6.0NRT,299.8,14.2,D
62.206,136.025,354,1,1,2019-07-28,02:35,T,97,6.0NRT,301.2,67.5,D
62.204,135.98,322.3,1,1,2019-07-28,02:35,T,56,6.0NRT,297.8,15.1,D
62.201,135.999,333.4,1,1,2019-07-28,02:35,T,84,6.0NRT,298.3,29.1,D
62.135,136.05,324.8,1,1,2019-07-28,02:35,T,69,6.0NRT,298,18.5,D
62.125,136.107,359.5,1,1,2019-07-28,02:35,T,99,6.0NRT,301.2,86.3,D
62.122,136.125,318.2,1,1,2019-07-28,02:35,T,73,6.0NRT,296.6,12.7,D
62.116,136.1,333.6,1,1,2019-07-28,02:35,T,87,6.0NRT,298.3,30.4,D
62.315,134.857,339.6,1,1,2019-07-28,02:35,T,80,6.0NRT,300.9,35.4,D
62.312,134.875,332.4,1,1,2019-07-28,02:35,T,60,6.0NRT,299.4,24.7,D
62.121,136.017,319.3,1,1,2019-07-28,02:35,T,64,6.0NRT,299.7,11.9,D
62.798,131.517,337,1,1,2019-07-28,02:35,T,84,6.0NRT,298.9,33.5,D
62.3,134.887,330,1,1,2019-07-28,02:35,T,64,6.0NRT,303.2,21.1,D
62.294,134.925,357.6,1,1,2019-07-28,02:35,T,99,6.0NRT,303.5,73.8,D
