latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
45.701,34.849,305.8,1.1,1,2019-07-03,00:00,A,66,6.0NRT,289.9,8.5,N
45.699,34.863,301.4,1.1,1,2019-07-03,00:00,A,34,6.0NRT,289.9,5.4,N
37.119,41.804,312.2,4.1,1.9,2019-07-03,00:00,A,84,6.0NRT,293.2,83.5,N
37.131,41.761,307.1,4.1,1.9,2019-07-03,00:00,A,70,6.0NRT,292.8,55.1,N
37.108,41.804,309,4.1,1.9,2019-07-03,00:00,A,76,6.0NRT,293,65.5,N
37.119,41.76,310.7,4.1,1.9,2019-07-03,00:00,A,81,6.0NRT,293.1,73.9,N
41.177,32.64,300.4,1.1,1,2019-07-03,00:00,A,27,6.0NRT,289.7,5.5,N
46.158,30.161,335.7,1.1,1,2019-07-03,00:00,A,100,6.0NRT,292.7,39.3,N
46.16,30.147,313.9,1.1,1,2019-07-03,00:00,A,88,6.0NRT,291.9,12.8,N
46.168,30.163,309.5,1.1,1,2019-07-03,00:00,A,77,6.0NRT,292.4,9.8,N
45.696,34.855,311.1,1.1,1,2019-07-03,00:00,A,82,6.0NRT,290.2,13,N
45.698,34.841,302.9,1.1,1,2019-07-03,00:00,A,52,6.0NRT,289.5,6.8,N
48.638,31.631,300.5,1,1,2019-07-03,00:00,A,29,6.0NRT,285.6,5.8,N
30.678,26.371,304.5,1,1,2019-07-03,00:05,A,60,6.0NRT,293.3,5.6,N
30.776,27.109,306.6,1,1,2019-07-03,00:05,A,68,6.0NRT,293.7,6.5,N
30.543,26.084,307.6,1,1,2019-07-03,00:05,A,72,6.0NRT,293.4,7.2,N
30.534,26.082,306.4,1,1,2019-07-03,00:05,A,68,6.0NRT,293.5,6.6,N
30.532,26.093,306.6,1,1,2019-07-03,00:05,A,69,6.0NRT,294.1,6.8,N
63.881,168.381,313.8,1.5,1.2,2019-07-03,01:05,T,65,6.0NRT,292.6,16.7,D
63.88,168.373,317.6,1.5,1.2,2019-07-03,01:05,T,77,6.0NRT,292.8,25,D
63.897,168.471,309.8,1.5,1.2,2019-07-03,01:05,T,52,6.0NRT,292.3,11.5,D
40.537,141.498,320.2,1.4,1.2,2019-07-03,01:10,T,21,6.0NRT,298.1,12.6,D
35.94,140.678,320.3,1.3,1.1,2019-07-03,01:10,T,28,6.0NRT,294,12.5,D
53.012,136.768,322.3,3.3,1.7,2019-07-03,01:10,T,82,6.0NRT,285.6,110.4,D
52.997,136.767,309.1,3.3,1.7,2019-07-03,01:10,T,9,6.0NRT,286.2,42.2,D
27.248,140.889,313.4,1.1,1,2019-07-03,01:15,T,50,6.0NRT,298.5,9.1,D
27.238,140.887,310.9,1.1,1,2019-07-03,01:15,T,25,6.0NRT,296.6,6.5,D
27.24,140.877,315.5,1.1,1,2019-07-03,01:15,T,57,6.0NRT,299,10.7,D
27.249,140.878,319.4,1.1,1,2019-07-03,01:15,T,71,6.0NRT,301.8,15,D
63.888,168.447,330,1,1,2019-07-03,01:20,A,81,6.0NRT,295.2,25.6,D
63.891,168.467,316.6,1,1,2019-07-03,01:20,A,65,6.0NRT,292.9,11,D
54.741,117.693,321.1,1.9,1.3,2019-07-03,02:45,T,47,6.0NRT,297.5,32.9,D
54.743,117.663,323.2,1.9,1.3,2019-07-03,02:45,T,56,6.0NRT,298.1,38.7,D
54.828,117.319,327.3,1.9,1.4,2019-07-03,02:45,T,0,6.0NRT,288.3,58.8,D
54.831,117.327,327.7,1.9,1.4,2019-07-03,02:45,T,63,6.0NRT,290.7,58.8,D
55.14,116.216,315.8,2.2,1.4,2019-07-03,02:45,T,47,6.0NRT,292,31.8,D
52.982,136.806,325.4,2.1,1.4,2019-07-03,02:45,T,84,6.0NRT,288.8,58.6,D
52.989,136.777,341.3,2.1,1.4,2019-07-03,02:45,T,92,6.0NRT,288.4,122.6,D
52.994,136.814,315.7,2.1,1.4,2019-07-03,02:45,T,73,6.0NRT,288,34.1,D
53.001,136.785,341.7,2.1,1.4,2019-07-03,02:45,T,92,6.0NRT,289.5,130.2,D
53.008,136.756,317.6,2.1,1.4,2019-07-03,02:45,T,77,6.0NRT,288.2,39,D
53.013,136.793,332.4,2.1,1.4,2019-07-03,02:45,T,88,6.0NRT,286.8,86.3,D
53.02,136.764,332.1,2.1,1.4,2019-07-03,02:45,T,88,6.0NRT,286.5,85.4,D
53.001,136.792,336.4,2.1,1.4,2019-07-03,02:45,T,86,6.0NRT,288.9,98.6,D
53.008,136.764,328.2,2.1,1.4,2019-07-03,02:45,T,59,6.0NRT,288.4,66.3,D
53.013,136.8,323.1,2.1,1.4,2019-07-03,02:45,T,80,6.0NRT,285.5,54.4,D
54.705,117.688,326.9,1.9,1.3,2019-07-03,02:45,T,44,6.0NRT,293.7,46.7,D
53.02,136.771,339.9,2.1,1.4,2019-07-03,02:45,T,92,6.0NRT,285.9,119.8,D
59.171,139.828,313.2,1.7,1.3,2019-07-03,02:45,T,61,6.0NRT,289.6,22.2,D
52.254,120.457,312.2,1.3,1.1,2019-07-03,02:45,T,66,6.0NRT,296,9.9,D
54.712,117.683,327,1.9,1.3,2019-07-03,02:45,T,24,6.0NRT,296.4,46.8,D
66.457,124.406,313.8,1.5,1.2,2019-07-03,02:45,T,73,6.0NRT,285,21.6,D
66.455,124.44,309.7,1.5,1.2,2019-07-03,02:45,T,47,6.0NRT,282.9,15.8,D
65.754,127.466,345.9,1.2,1.1,2019-07-03,02:45,T,94,6.0NRT,297,70.6,D
65.752,127.49,328.1,1.2,1.1,2019-07-03,02:45,T,62,6.0NRT,299.7,32.8,D
65.744,127.46,361,1.2,1.1,2019-07-03,02:45,T,100,6.0NRT,295,120.1,D
65.742,127.484,345.2,1.2,1.1,2019-07-03,02:45,T,94,6.0NRT,293.2,69.7,D
64.02,125.487,309.7,1.3,1.1,2019-07-03,02:45,T,0,6.0NRT,292.2,10,D
64.083,118.324,315.1,2.2,1.4,2019-07-03,02:45,T,66,6.0NRT,282.2,45.8,D
62.973,118.748,301.7,2.1,1.4,2019-07-03,02:45,T,30,6.0NRT,285.3,15.3,D
62.96,118.744,300.1,2.1,1.4,2019-07-03,02:45,T,14,6.0NRT,284.6,12.7,D
59.178,139.841,311.3,1.7,1.3,2019-07-03,02:45,T,54,6.0NRT,288.1,16.3,D
54.723,117.353,312.5,1.9,1.4,2019-07-03,02:45,T,39,6.0NRT,288.2,20.6,D
54.396,119.011,311.4,1.6,1.2,2019-07-03,02:45,T,54,6.0NRT,291.2,14.9,D
50.57,123.765,320,1,1,2019-07-03,02:45,T,72,6.0NRT,300.5,12.7,D
54.394,119.036,314.1,1.6,1.2,2019-07-03,02:45,T,73,6.0NRT,293.3,19.5,D
54.707,117.658,334.6,1.9,1.3,2019-07-03,02:45,T,64,6.0NRT,293.2,71.8,D
36.737,121.183,321.9,1,1,2019-07-03,02:50,T,27,6.0NRT,300.5,8.6,D
48.039,125.622,333.2,1,1,2019-07-03,02:50,T,87,6.0NRT,295.6,29.6,D
48.037,125.636,317.4,1,1,2019-07-03,02:50,T,73,6.0NRT,293.7,11.7,D
48.03,125.627,313.1,1,1,2019-07-03,02:50,T,67,6.0NRT,295.2,8.3,D
47.311,124.752,317.9,1,1,2019-07-03,02:50,T,69,6.0NRT,298.7,10.9,D
46.627,124.839,320.5,1,1,2019-07-03,02:50,T,0,6.0NRT,297.5,11.2,D
46.581,124.837,320.2,1,1,2019-07-03,02:50,T,70,6.0NRT,297,11.3,D
46.579,124.85,318.9,1,1,2019-07-03,02:50,T,66,6.0NRT,297.7,9.6,D
46.533,125.022,313.4,1,1,2019-07-03,02:50,T,64,6.0NRT,297.4,7.1,D
46.448,124.139,309.4,1,1,2019-07-03,02:50,T,55,6.0NRT,297,4.5,D
46.304,124.708,309.7,1,1,2019-07-03,02:50,T,62,6.0NRT,296.6,4.6,D
46.179,125.482,313.1,1.1,1,2019-07-03,02:50,T,69,6.0NRT,296.7,8.5,D
46.232,124.153,313,1,1,2019-07-03,02:50,T,66,6.0NRT,295.5,7.7,D
46.316,123.538,312.4,1,1,2019-07-03,02:50,T,62,6.0NRT,293.5,7.2,D
45.719,124.402,309.8,1,1,2019-07-03,02:50,T,48,6.0NRT,295.4,6.1,D
44.929,123.262,314.1,1,1,2019-07-03,02:50,T,44,6.0NRT,295.7,6.1,D
42.906,125.04,313.4,1.1,1.1,2019-07-03,02:50,T,41,6.0NRT,298.8,7,D
42.46,123.337,325.4,1,1,2019-07-03,02:50,T,31,6.0NRT,294,16.2,D
42.458,123.349,328.2,1,1,2019-07-03,02:50,T,45,6.0NRT,292.1,18.7,D
42.218,123.743,320.3,1,1,2019-07-03,02:50,T,50,6.0NRT,301.4,9,D
41.778,126.028,316.8,1.3,1.1,2019-07-03,02:50,T,28,6.0NRT,302.4,12.3,D
42.124,123.632,329.4,1,1,2019-07-03,02:50,T,83,6.0NRT,302,19.7,D
42.117,123.624,321.2,1,1,2019-07-03,02:50,T,56,6.0NRT,302.4,13.3,D
41.672,125.818,310.1,1.2,1.1,2019-07-03,02:50,T,26,6.0NRT,298.1,7.9,D
41.862,123.705,318.5,1,1,2019-07-03,02:50,T,60,6.0NRT,301.7,7.7,D
41.845,123.752,326.4,1,1,2019-07-03,02:50,T,59,6.0NRT,304,13.5,D
41.971,122.848,320.5,1,1,2019-07-03,02:50,T,27,6.0NRT,302.9,8,D
41.896,123.318,319.2,1,1,2019-07-03,02:50,T,62,6.0NRT,300.1,8.2,D
41.792,123.795,317.7,1.1,1,2019-07-03,02:50,T,55,6.0NRT,300.3,7.3,D
41.622,124.806,310.2,1.1,1.1,2019-07-03,02:50,T,31,6.0NRT,297.3,5.7,D
41.833,123.192,318.6,1,1,2019-07-03,02:50,T,43,6.0NRT,299.6,9.4,D
41.765,123.555,319.5,1,1,2019-07-03,02:50,T,51,6.0NRT,300.8,8.1,D
41.399,123.357,322.3,1,1,2019-07-03,02:50,T,76,6.0NRT,299.9,13.8,D
41.392,123.279,320.1,1,1,2019-07-03,02:50,T,38,6.0NRT,299.6,9.9,D
41.385,123.264,322.1,1,1,2019-07-03,02:50,T,50,6.0NRT,297.9,12.6,D
41.383,123.276,322,1,1,2019-07-03,02:50,T,53,6.0NRT,298.3,12.1,D
41.369,123.31,316.2,1,1,2019-07-03,02:50,T,61,6.0NRT,296.2,7.5,D
41.36,123.308,316,1,1,2019-07-03,02:50,T,59,6.0NRT,297.6,7.4,D
41.285,123.255,316.5,1,1,2019-07-03,02:50,T,37,6.0NRT,301.5,6.2,D
41.217,123.67,317.8,1.1,1,2019-07-03,02:50,T,27,6.0NRT,301.5,8.6,D
41.386,122.368,319.5,1,1,2019-07-03,02:50,T,39,6.0NRT,304.5,7.6,D
41.159,122.994,329.8,1,1,2019-07-03,02:50,T,67,6.0NRT,305.1,15.6,D
41.101,122.897,320.2,1,1,2019-07-03,02:50,T,24,6.0NRT,303.3,6.5,D
40.892,122.692,321.8,1,1,2019-07-03,02:50,T,42,6.0NRT,304.7,8.7,D
40.89,122.703,322.5,1,1,2019-07-03,02:50,T,44,6.0NRT,304.5,9,D
40.774,122.377,315.4,1,1,2019-07-03,02:50,T,61,6.0NRT,302.9,7.8,D
40.702,122.425,323.3,1,1,2019-07-03,02:50,T,72,6.0NRT,300.1,13.8,D
39.79,127.253,306.3,1.6,1.2,2019-07-03,02:50,T,25,6.0NRT,291.6,6.2,D
39.682,122.893,320,1,1,2019-07-03,02:50,T,33,6.0NRT,304.8,9,D
40.62,109.735,320,3.6,1.8,2019-07-03,02:50,T,56,6.0NRT,305.3,42.8,D
39.008,121.391,325.9,1,1,2019-07-03,02:50,T,73,6.0NRT,305,8.6,D
39.14,118.184,316.6,1.1,1.1,2019-07-03,02:50,T,66,6.0NRT,305.5,11.8,D
37.72,120.482,321.6,1,1,2019-07-03,02:50,T,48,6.0NRT,303.5,8,D
37.383,121.957,323.5,1,1,2019-07-03,02:50,T,34,6.0NRT,303.8,8.4,D
37.375,118.99,315.7,1,1,2019-07-03,02:50,T,64,6.0NRT,305.3,10.8,D
37.374,119.002,314,1,1,2019-07-03,02:50,T,60,6.0NRT,302.4,9.4,D
48.333,126.506,308.7,1.1,1,2019-07-03,02:50,T,58,6.0NRT,294.3,5.1,D
36.81,120.512,321.4,1,1,2019-07-03,02:50,T,63,6.0NRT,303.2,6.1,D
33.41,120.205,318.3,1,1,2019-07-03,02:50,T,45,6.0NRT,286.3,9.4,D
32.467,119.664,321.7,1,1,2019-07-03,02:50,T,58,6.0NRT,303.6,8.8,D
32.422,119.285,319.6,1,1,2019-07-03,02:50,T,59,6.0NRT,302.5,9.4,D
32.307,119.374,317.2,1,1,2019-07-03,02:50,T,37,6.0NRT,300.6,5.6,D
48.726,126.67,316.1,1.1,1,2019-07-03,02:50,T,75,6.0NRT,293.5,11,D
48.724,126.684,311,1.1,1,2019-07-03,02:50,T,68,6.0NRT,294.1,6.5,D
53.003,136.772,330.3,2.4,1.5,2019-07-03,02:55,A,86,6.0NRT,282.6,95.4,D
53.015,136.763,319.7,2.4,1.5,2019-07-03,02:55,A,66,6.0NRT,283.4,56.7,D
30.447,117.238,309.7,1,1,2019-07-03,02:55,T,49,6.0NRT,282.6,5.3,D
29.027,114.543,316.2,1.3,1.1,2019-07-03,02:55,T,27,6.0NRT,295.1,9.1,D
28.218,113.308,317.3,1.5,1.2,2019-07-03,02:55,T,41,6.0NRT,293.4,10.9,D
15.243,120.718,309.3,1.9,1.3,2019-07-03,02:55,T,42,6.0NRT,287.1,9.7,D
14.831,120.283,313.6,1.8,1.3,2019-07-03,02:55,T,0,6.0NRT,292.2,13.9,D
54.702,160.551,306.1,2.6,1.6,2019-07-03,02:55,A,24,6.0NRT,294.1,23.2,D
53.008,136.776,337.5,2.4,1.5,2019-07-03,02:55,A,83,6.0NRT,283.5,127.9,D
65.751,127.474,340.8,1.6,1.3,2019-07-03,03:00,A,92,6.0NRT,284.3,86.9,D
65.741,127.486,339.8,1.6,1.3,2019-07-03,03:00,A,72,6.0NRT,289.7,84.1,D
65.744,127.445,356.2,1.6,1.3,2019-07-03,03:00,A,98,6.0NRT,288.1,153.8,D
65.749,127.473,347.5,1.6,1.3,2019-07-03,03:00,A,95,6.0NRT,288.1,113.6,D
65.742,127.444,364.3,1.6,1.3,2019-07-03,03:00,A,100,6.0NRT,291.3,200.2,D
66.441,124.411,311.6,1.8,1.3,2019-07-03,03:00,A,68,6.0NRT,281.3,27.5,D
66.454,124.434,305.3,1.8,1.3,2019-07-03,03:00,A,30,6.0NRT,279.7,15.6,D
66.445,124.4,310.5,1.8,1.3,2019-07-03,03:00,A,66,6.0NRT,280.8,24.1,D
68.943,135.768,308.8,1,1,2019-07-03,03:00,A,63,6.0NRT,287.9,7.9,D
65.734,127.459,373.5,1.6,1.3,2019-07-03,03:00,A,100,6.0NRT,286.5,262,D
68.414,83.682,310.8,4.7,2,2019-07-03,04:20,T,61,6.0NRT,298.1,48.7,D
65.114,113.747,316,1.1,1,2019-07-03,04:20,T,69,6.0NRT,290.2,14.2,D
65.11,113.769,316.1,1.1,1,2019-07-03,04:20,T,64,6.0NRT,291.6,14.2,D
64.078,118.312,328.2,1.4,1.2,2019-07-03,04:20,T,0,6.0NRT,279.4,44.6,D
64.068,118.301,323.2,1.4,1.2,2019-07-03,04:20,T,0,6.0NRT,275.8,38.1,D
64.062,118.327,334.8,1.4,1.2,2019-07-03,04:20,T,0,6.0NRT,276.6,63.2,D
64.608,113.396,321.1,1.1,1,2019-07-03,04:20,T,81,6.0NRT,290.3,20.1,D
64.521,113.502,324,1.1,1,2019-07-03,04:20,T,83,6.0NRT,292.2,23.2,D
64.517,113.523,331.1,1.1,1,2019-07-03,04:20,T,87,6.0NRT,293.9,33.1,D
63.892,113.318,312.1,1.1,1.1,2019-07-03,04:20,T,40,6.0NRT,292.4,10.7,D
63.892,113.288,310.5,1.1,1.1,2019-07-03,04:20,T,47,6.0NRT,292.1,9.8,D
63.888,113.309,329,1.1,1.1,2019-07-03,04:20,T,86,6.0NRT,294.4,30.9,D
63.85,113.346,322,1.1,1.1,2019-07-03,04:20,T,48,6.0NRT,291.5,20.5,D
63.846,113.367,328.2,1.1,1.1,2019-07-03,04:20,T,76,6.0NRT,289.1,28.5,D
64.165,108.588,324.3,1,1,2019-07-03,04:20,T,83,6.0NRT,294.6,20.7,D
64.162,108.608,331.6,1,1,2019-07-03,04:20,T,87,6.0NRT,296.8,29.4,D
65.127,99.105,311,1.5,1.2,2019-07-03,04:20,T,63,6.0NRT,290.7,13.9,D
65.125,99.136,315.2,1.5,1.2,2019-07-03,04:20,T,51,6.0NRT,290.2,18.9,D
65.112,99.164,318.1,1.5,1.2,2019-07-03,04:20,T,56,6.0NRT,289.3,22.8,D
65.109,99.195,327.6,1.5,1.2,2019-07-03,04:20,T,84,6.0NRT,291.3,41.9,D
65.101,99.16,342.7,1.5,1.2,2019-07-03,04:20,T,92,6.0NRT,290.3,81.6,D
65.098,99.191,315.6,1.5,1.2,2019-07-03,04:20,T,52,6.0NRT,290.8,19.4,D
65.1,99.152,329.5,1.5,1.2,2019-07-03,04:20,T,85,6.0NRT,289.4,45.6,D
65.097,99.184,319.1,1.5,1.2,2019-07-03,04:20,T,67,6.0NRT,290.6,24.9,D
63.876,108.035,302.8,1,1,2019-07-03,04:20,T,33,6.0NRT,291.4,2.8,D
64.787,98.933,310.2,1.5,1.2,2019-07-03,04:20,T,60,6.0NRT,295.7,11.6,D
64.785,98.964,319.9,1.5,1.2,2019-07-03,04:20,T,78,6.0NRT,298,25.5,D
64.777,98.929,352.7,1.5,1.2,2019-07-03,04:20,T,97,6.0NRT,298.3,118.3,D
64.774,98.96,339.5,1.5,1.2,2019-07-03,04:20,T,91,6.0NRT,299.9,70.2,D
64.052,104.802,308.1,1.1,1,2019-07-03,04:20,T,61,6.0NRT,296.8,5.9,D
64.017,105.008,306.1,1.1,1,2019-07-03,04:20,T,55,6.0NRT,293.9,5.8,D
64.415,100.234,328.2,1.4,1.2,2019-07-03,04:20,T,64,6.0NRT,299.1,35.9,D
64.408,100.202,306.6,1.4,1.2,2019-07-03,04:20,T,31,6.0NRT,295.4,5.9,D
64.405,100.229,332,1.4,1.2,2019-07-03,04:20,T,66,6.0NRT,299.7,43.8,D
63.741,104.497,310.2,1.1,1,2019-07-03,04:20,T,66,6.0NRT,298.3,8.1,D
63.349,106.081,326.5,1,1,2019-07-03,04:20,T,63,6.0NRT,297.8,20.4,D
63.346,106.101,312.9,1,1,2019-07-03,04:20,T,24,6.0NRT,295.7,7.2,D
63.589,101.097,333.9,1.3,1.1,2019-07-03,04:20,T,88,6.0NRT,296.8,43.2,D
63.594,101.152,311.2,1.3,1.1,2019-07-03,04:20,T,62,6.0NRT,297.8,8.5,D
