latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
62.295,172.15532,346.7,0.48,0.4,2019-07-20,00:12,N,nominal,1.0NRT,289.6,6.3,D
62.29354,172.15991,326.3,0.48,0.4,2019-07-20,00:12,N,nominal,1.0NRT,290.6,3.1,D
67.7491,136.88776,356.4,0.47,0.64,2019-07-20,00:18,N,nominal,1.0NRT,292.3,9,D
67.76735,136.89789,341.2,0.47,0.64,2019-07-20,00:18,N,nominal,1.0NRT,289.2,5.3,D
67.44872,136.27669,325.5,0.5,0.66,2019-07-20,00:18,N,nominal,1.0NRT,285.7,6.2,D
67.72186,136.6236,327.5,0.47,0.64,2019-07-20,00:18,N,nominal,1.0NRT,287.6,6.6,D
67.73563,136.60812,330.1,0.47,0.64,2019-07-20,00:18,N,nominal,1.0NRT,287.8,4,D
67.73183,136.60219,325.3,0.47,0.64,2019-07-20,00:18,N,nominal,1.0NRT,285.6,3.7,D
67.74253,136.60042,330.4,0.47,0.64,2019-07-20,00:18,N,nominal,1.0NRT,287.1,4,D
67.73872,136.59444,334.9,0.47,0.64,2019-07-20,00:18,N,nominal,1.0NRT,286.4,4,D
67.75628,136.58496,334.3,0.47,0.64,2019-07-20,00:18,N,nominal,1.0NRT,287.6,8,D
67.4529,136.09708,341.5,0.5,0.66,2019-07-20,00:18,N,nominal,1.0NRT,283.3,8.6,D
67.44913,136.09135,338.3,0.5,0.66,2019-07-20,00:18,N,nominal,1.0NRT,281.5,7.1,D
68.19259,137.21199,331.9,0.44,0.62,2019-07-20,00:18,N,nominal,1.0NRT,278.6,4,D
68.18916,137.20636,336.2,0.44,0.62,2019-07-20,00:18,N,nominal,1.0NRT,279.8,4,D
68.18876,137.18729,330.3,0.44,0.62,2019-07-20,00:18,N,nominal,1.0NRT,278.3,4,D
67.45148,136.09174,348.2,0.5,0.66,2019-07-20,00:18,N,nominal,1.0NRT,282.8,9.5,D
68.19121,137.20639,345.3,0.44,0.62,2019-07-20,00:18,N,nominal,1.0NRT,280,4.2,D
68.18776,137.20081,332.8,0.44,0.62,2019-07-20,00:18,N,nominal,1.0NRT,278.5,4.2,D
67.48055,136.09831,337.2,0.5,0.66,2019-07-20,00:18,N,nominal,1.0NRT,283.8,3.7,D
67.7623,136.3063,326,0.48,0.64,2019-07-20,00:18,N,nominal,1.0NRT,286.6,4,D
68.18384,136.80975,336,0.44,0.63,2019-07-20,00:18,N,nominal,1.0NRT,281.1,5.2,D
68.37455,136.80058,333.4,0.43,0.62,2019-07-20,00:18,N,nominal,1.0NRT,273.8,3.7,D
68.44275,136.83743,337.9,0.43,0.62,2019-07-20,00:18,N,nominal,1.0NRT,281.4,8.1,D
68.43938,136.83199,330.6,0.43,0.62,2019-07-20,00:18,N,nominal,1.0NRT,278.3,4.3,D
68.41517,136.77452,327.6,0.43,0.62,2019-07-20,00:18,N,nominal,1.0NRT,282.3,3.6,D
