latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
63.89436,168.45763,335.7,0.43,0.38,2019-07-03,00:30,N,nominal,1.0NRT,289.5,3.1,D
64.95789,173.3512,333.4,0.38,0.36,2019-07-03,00:30,N,nominal,1.0NRT,291.9,2.6,D
64.95665,173.34344,367,0.38,0.36,2019-07-03,00:30,N,high,1.0NRT,298.3,11.5,D
64.95351,173.34622,349.7,0.38,0.36,2019-07-03,00:30,N,nominal,1.0NRT,293.9,7.6,D
64.95474,173.35399,348.2,0.38,0.36,2019-07-03,00:30,N,nominal,1.0NRT,296.7,10.9,D
63.8824,168.36212,341.7,0.43,0.38,2019-07-03,00:30,N,nominal,1.0NRT,292.8,14.2,D
63.8792,168.36551,349.9,0.43,0.38,2019-07-03,00:30,N,nominal,1.0NRT,297.5,14.2,D
63.87767,168.37701,334.8,0.43,0.38,2019-07-03,00:30,N,nominal,1.0NRT,291.5,2.6,D
64.95607,173.31738,328.2,0.38,0.36,2019-07-03,00:30,N,nominal,1.0NRT,297.2,5.6,D
64.95293,173.32019,344,0.38,0.36,2019-07-03,00:30,N,nominal,1.0NRT,300.1,5.6,D
65.74211,127.4648,367,0.71,0.75,2019-07-03,00:36,N,low,1.0NRT,284.7,21.3,D
65.75508,127.46139,332.3,0.71,0.75,2019-07-03,00:36,N,nominal,1.0NRT,283.3,21.3,D
65.7456,127.47357,367,0.71,0.75,2019-07-03,00:36,N,high,1.0NRT,294.8,17.8,D
65.74043,127.46737,327.3,0.71,0.75,2019-07-03,00:36,N,nominal,1.0NRT,282.2,17.8,D
65.7532,127.4635,355.9,0.71,0.75,2019-07-03,00:36,N,nominal,1.0NRT,287,15.9,D
65.74682,127.45585,367,0.71,0.75,2019-07-03,00:36,N,low,1.0NRT,286.5,15.9,D
65.74707,127.47085,367,0.71,0.75,2019-07-03,00:36,N,high,1.0NRT,298,21.3,D
67.81102,72.53287,341.3,0.51,0.66,2019-07-03,00:42,N,nominal,1.0NRT,290.9,10.4,D
65.90505,77.23831,346.4,0.75,0.77,2019-07-03,00:42,N,nominal,1.0NRT,290.7,12.6,D
67.80522,72.50368,367,0.51,0.66,2019-07-03,00:42,N,high,1.0NRT,291.8,98.6,D
67.83644,58.92775,345.1,0.33,0.55,2019-07-03,00:42,N,nominal,1.0NRT,285.2,3.4,D
67.83878,58.93429,345.6,0.33,0.55,2019-07-03,00:42,N,nominal,1.0NRT,285.5,3.1,D
66.17352,71.0144,348.8,0.61,0.71,2019-07-03,00:42,N,nominal,1.0NRT,290.4,6.5,D
66.19877,70.97949,367,0.61,0.71,2019-07-03,00:42,N,high,1.0NRT,292,26.9,D
66.20195,70.99406,367,0.61,0.71,2019-07-03,00:42,N,high,1.0NRT,293.5,13.4,D
66.20038,70.99196,367,0.61,0.71,2019-07-03,00:42,N,high,1.0NRT,296.4,32.2,D
