latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
67.07589,131.49176,345,0.67,0.73,2019-07-05,00:00,N,nominal,1.0NRT,283.2,13.2,D
67.07312,131.50806,345,0.67,0.73,2019-07-05,00:00,N,nominal,1.0NRT,285.4,13.2,D
67.83158,134.44102,327.1,0.56,0.69,2019-07-05,00:00,N,nominal,1.0NRT,282,3.4,D
68.44114,135.45343,341.3,0.5,0.66,2019-07-05,00:00,N,nominal,1.0NRT,285.4,8.6,D
67.93154,135.30405,367,0.54,0.68,2019-07-05,00:00,N,low,1.0NRT,286.5,27.8,D
67.92776,135.29945,354,0.54,0.68,2019-07-05,00:00,N,nominal,1.0NRT,288.3,23.5,D
67.91885,135.3073,336.4,0.54,0.68,2019-07-05,00:00,N,nominal,1.0NRT,284.2,23.5,D
67.92841,135.31888,332,0.54,0.68,2019-07-05,00:00,N,nominal,1.0NRT,290.3,27.8,D
67.92341,135.31282,367,0.54,0.68,2019-07-05,00:00,N,high,1.0NRT,293.8,23.5,D
67.92381,135.30298,352.3,0.54,0.68,2019-07-05,00:00,N,nominal,1.0NRT,289.4,38.7,D
67.93224,135.31339,327.7,0.54,0.68,2019-07-05,00:00,N,nominal,1.0NRT,285.6,25.4,D
67.9285,135.30879,367,0.54,0.68,2019-07-05,00:00,N,high,1.0NRT,300.6,38.7,D
67.78597,77.00911,341.8,0.44,0.63,2019-07-05,00:06,N,nominal,1.0NRT,288.9,5.2,D
67.78651,77.00954,332.6,0.44,0.63,2019-07-05,00:06,N,nominal,1.0NRT,287.9,5.7,D
66.2859,78.75523,350.4,0.57,0.69,2019-07-05,00:06,N,nominal,1.0NRT,291.2,14.3,D
66.28127,78.76205,339.7,0.57,0.69,2019-07-05,00:06,N,nominal,1.0NRT,289.1,14.3,D
66.27795,78.7481,352,0.57,0.69,2019-07-05,00:06,N,nominal,1.0NRT,289.4,14.3,D
66.28256,78.74133,367,0.57,0.69,2019-07-05,00:06,N,low,1.0NRT,291.6,14.3,D
65.79307,79.04061,334.9,0.62,0.71,2019-07-05,00:06,N,nominal,1.0NRT,288.1,11.5,D
65.78802,79.04786,347.6,0.62,0.71,2019-07-05,00:06,N,nominal,1.0NRT,288.2,9.2,D
67.27481,83.20534,345.5,0.57,0.69,2019-07-05,00:06,N,nominal,1.0NRT,290.4,7.6,D
67.8006,72.52523,339.9,0.38,0.59,2019-07-05,00:06,N,nominal,1.0NRT,269.9,46.8,D
67.80619,72.51417,367,0.38,0.59,2019-07-05,00:06,N,low,1.0NRT,266.6,32.7,D
67.80009,72.50804,341,0.38,0.59,2019-07-05,00:06,N,nominal,1.0NRT,265.6,46.8,D
68.48537,58.7547,334.8,0.41,0.45,2019-07-05,00:06,N,nominal,1.0NRT,285.7,3.5,D
68.61591,57.97144,344.6,0.39,0.44,2019-07-05,00:06,N,nominal,1.0NRT,288.8,7.8,D
67.83784,58.92833,338.4,0.44,0.46,2019-07-05,00:06,N,nominal,1.0NRT,287.1,3.7,D
67.18062,56.62741,338.8,0.42,0.46,2019-07-05,00:06,N,nominal,1.0NRT,288.3,3.3,D
67.80668,72.53139,367,0.38,0.59,2019-07-05,00:06,N,low,1.0NRT,271.9,13.8,D
67.27003,83.21144,344.6,0.57,0.69,2019-07-05,00:06,N,nominal,1.0NRT,290.5,7.6,D
67.3148,83.13542,350.2,0.56,0.69,2019-07-05,00:06,N,nominal,1.0NRT,290.3,10,D
67.31741,83.14484,367,0.56,0.69,2019-07-05,00:06,N,high,1.0NRT,291.7,10.5,D
67.26995,83.20661,367,0.57,0.69,2019-07-05,00:06,N,high,1.0NRT,290.9,15.5,D
68.52091,79.96219,352.3,0.44,0.62,2019-07-05,00:06,N,nominal,1.0NRT,287.6,23.8,D
68.52449,79.95667,367,0.44,0.62,2019-07-05,00:06,N,low,1.0NRT,298.8,54.5,D
66.95682,80.78512,340.6,0.55,0.68,2019-07-05,00:06,N,nominal,1.0NRT,291,4.5,D
67.26671,80.00878,329.6,0.52,0.67,2019-07-05,00:06,N,nominal,1.0NRT,290.3,5.2,D
67.30257,79.06527,357.1,0.5,0.66,2019-07-05,00:06,N,nominal,1.0NRT,291.5,10.5,D
67.30298,79.06525,367,0.5,0.66,2019-07-05,00:06,N,high,1.0NRT,291.4,8.6,D
67.29992,79.05129,343.7,0.5,0.66,2019-07-05,00:06,N,nominal,1.0NRT,288.8,5.4,D
48.46388,38.75499,298.9,0.56,0.51,2019-07-05,00:12,N,nominal,1.0NRT,285.7,1.7,N
50.35867,31.27737,302.3,0.42,0.37,2019-07-05,00:12,N,nominal,1.0NRT,278.9,1,N
50.74254,31.11733,314.5,0.41,0.37,2019-07-05,00:12,N,nominal,1.0NRT,283.1,1.1,N
50.74585,31.11886,300,0.41,0.37,2019-07-05,00:12,N,nominal,1.0NRT,282.5,1.1,N
50.74543,31.11951,301.6,0.41,0.37,2019-07-05,00:12,N,nominal,1.0NRT,282.3,0.8,N
50.74648,31.11386,304.3,0.41,0.37,2019-07-05,00:12,N,nominal,1.0NRT,278.9,0.8,N
50.27972,33.88086,302.8,0.49,0.4,2019-07-05,00:12,N,nominal,1.0NRT,281.9,1.3,N
50.28328,33.88271,304.4,0.49,0.4,2019-07-05,00:12,N,nominal,1.0NRT,281.6,1.3,N
51.07514,30.13797,299.5,0.39,0.36,2019-07-05,00:12,N,nominal,1.0NRT,281.2,0.9,N
50.34083,34.19556,300.4,0.5,0.41,2019-07-05,00:12,N,nominal,1.0NRT,278.8,0.7,N
46.77227,48.13087,309.6,0.76,0.77,2019-07-05,00:12,N,nominal,1.0NRT,284.5,4.3,N
46.77579,48.12165,319.1,0.76,0.77,2019-07-05,00:12,N,nominal,1.0NRT,284.7,5.6,N
51.58099,30.91088,322.2,0.4,0.37,2019-07-05,00:12,N,nominal,1.0NRT,277.5,3.6,N
51.58199,30.90525,326.7,0.4,0.37,2019-07-05,00:12,N,nominal,1.0NRT,279.2,6.1,N
51.88909,29.33792,301,0.38,0.36,2019-07-05,00:12,N,nominal,1.0NRT,281.2,0.7,N
51.89144,29.3448,295.7,0.38,0.36,2019-07-05,00:12,N,nominal,1.0NRT,280.9,0.7,N
51.89233,29.3393,313.5,0.38,0.36,2019-07-05,00:12,N,nominal,1.0NRT,282.8,1.7,N
51.89827,29.32422,297.5,0.38,0.36,2019-07-05,00:12,N,nominal,1.0NRT,284.3,1.3,N
51.89487,30.28467,296,0.39,0.36,2019-07-05,00:12,N,nominal,1.0NRT,279,0.5,N
51.89582,30.27912,296.1,0.39,0.36,2019-07-05,00:12,N,nominal,1.0NRT,278.3,0.9,N
51.89812,30.28614,296.5,0.39,0.36,2019-07-05,00:12,N,nominal,1.0NRT,280.7,0.7,N
51.90004,30.27503,297.2,0.39,0.36,2019-07-05,00:12,N,nominal,1.0NRT,280,1.7,N
51.89907,30.28058,323.9,0.39,0.36,2019-07-05,00:12,N,nominal,1.0NRT,292.8,1.7,N
50.6127,36.60338,295.6,0.4,0.44,2019-07-05,00:12,N,nominal,1.0NRT,281.6,0.8,N
48.48247,44.65133,298.9,0.49,0.65,2019-07-05,00:12,N,nominal,1.0NRT,286.5,0.7,N
50.14596,39.68498,295.6,0.54,0.51,2019-07-05,00:12,N,nominal,1.0NRT,283.5,2.2,N
50.37922,39.63607,297,0.53,0.5,2019-07-05,00:12,N,nominal,1.0NRT,280.7,1.2,N
52.84544,29.98852,323.6,0.39,0.36,2019-07-05,00:12,N,nominal,1.0NRT,281.8,1.8,N
52.84869,29.98999,315.2,0.39,0.36,2019-07-05,00:12,N,nominal,1.0NRT,281.9,1.8,N
49.71429,43.8044,296.7,0.41,0.61,2019-07-05,00:12,N,nominal,1.0NRT,278.7,0.7,N
50.09064,43.23587,301.4,0.38,0.59,2019-07-05,00:12,N,nominal,1.0NRT,283.5,0.5,N
52.8031,32.22475,295.9,0.41,0.37,2019-07-05,00:12,N,nominal,1.0NRT,279.8,0.8,N
52.80639,32.22644,305.9,0.41,0.37,2019-07-05,00:12,N,nominal,1.0NRT,282.8,1.3,N
50.91945,41.44262,298.8,0.6,0.53,2019-07-05,00:12,N,nominal,1.0NRT,278.9,0.8,N
50.92167,41.43479,298.1,0.6,0.53,2019-07-05,00:12,N,nominal,1.0NRT,277.1,0.9,N
53.1136,32.79105,324.6,0.42,0.37,2019-07-05,00:12,N,nominal,1.0NRT,280.6,2.2,N
