latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
62.29114,136.22461,328.6,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,290.4,7.1,D
62.24535,136.15274,347.6,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291.9,6.5,D
62.24946,136.16093,336.8,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291.6,6.5,D
62.25357,136.1691,330.5,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291.2,6.4,D
62.25756,136.17703,334.5,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291.3,6.4,D
62.26156,136.18497,333.2,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291.4,6.5,D
61.95956,166.65221,329.5,0.39,0.36,2019-07-28,01:06,N,nominal,1.0NRT,289.2,2.5,D
61.95837,166.64514,325.6,0.39,0.36,2019-07-28,01:06,N,nominal,1.0NRT,289.8,1.8,D
61.96393,166.65686,337.2,0.39,0.36,2019-07-28,01:06,N,nominal,1.0NRT,290.2,6.8,D
61.96829,166.6615,328.8,0.39,0.36,2019-07-28,01:06,N,nominal,1.0NRT,287.5,3.5,D
61.96709,166.65445,352.2,0.39,0.36,2019-07-28,01:06,N,nominal,1.0NRT,292.2,6.8,D
61.97145,166.6591,343.8,0.39,0.36,2019-07-28,01:06,N,nominal,1.0NRT,288.2,11.3,D
61.97026,166.65202,347,0.39,0.36,2019-07-28,01:06,N,nominal,1.0NRT,288.2,8.7,D
61.96788,166.63789,341.4,0.39,0.36,2019-07-28,01:06,N,nominal,1.0NRT,289,4.1,D
60.35226,137.16467,336.7,0.7,0.75,2019-07-28,01:06,N,nominal,1.0NRT,290.8,16.3,D
60.34757,137.1555,350.6,0.7,0.75,2019-07-28,01:06,N,nominal,1.0NRT,291.6,14.9,D
60.34929,137.15981,367,0.7,0.75,2019-07-28,01:06,N,high,1.0NRT,294.1,24,D
60.38813,137.13629,333.5,0.7,0.75,2019-07-28,01:06,N,nominal,1.0NRT,294.1,7.8,D
60.39098,137.12204,336.7,0.7,0.75,2019-07-28,01:06,N,nominal,1.0NRT,292,7.8,D
62.12411,136.10144,367,0.6,0.71,2019-07-28,01:06,N,high,1.0NRT,293.6,16.6,D
62.12423,136.10681,349.9,0.6,0.71,2019-07-28,01:06,N,nominal,1.0NRT,291.4,15.5,D
62.12022,136.09897,336.3,0.6,0.71,2019-07-28,01:06,N,nominal,1.0NRT,291,11.7,D
62.13467,136.05009,330,0.6,0.71,2019-07-28,01:06,N,nominal,1.0NRT,290.8,4,D
62.27435,136.21046,334.5,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,290.8,6,D
62.27002,136.20181,329.1,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,290.8,6,D
62.26575,136.19333,334.4,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291,6.5,D
62.25495,136.17175,334.7,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291.4,7.2,D
62.25892,136.17957,332.8,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291.3,6.3,D
62.26302,136.18759,335.8,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291.3,6.3,D
62.26727,136.19594,332.8,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291.1,6,D
62.27159,136.20444,332.2,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,290.9,6,D
62.27593,136.21297,329.3,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,290.7,5.3,D
62.2801,136.22118,326.5,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,290.7,5.3,D
62.31302,136.17166,367,0.59,0.7,2019-07-28,01:06,N,high,1.0NRT,294.3,17.4,D
70.19837,127.43227,337.4,0.61,0.53,2019-07-28,01:06,N,nominal,1.0NRT,286.7,6.8,D
70.19995,127.45317,332.3,0.61,0.53,2019-07-28,01:06,N,nominal,1.0NRT,287.5,9.5,D
70.19434,127.47757,335.6,0.61,0.53,2019-07-28,01:06,N,nominal,1.0NRT,287.6,4.9,D
66.21178,124.43632,331.8,0.57,0.69,2019-07-28,01:06,N,nominal,1.0NRT,285.3,12.2,D
68.83155,135.42793,329,0.56,0.51,2019-07-28,01:06,N,nominal,1.0NRT,285.2,2.3,D
68.91299,135.95432,343.8,0.54,0.51,2019-07-28,01:06,N,nominal,1.0NRT,287.8,9.2,D
68.90572,136.0425,333.3,0.54,0.51,2019-07-28,01:06,N,nominal,1.0NRT,289.9,7.1,D
68.90599,136.07861,329.6,0.54,0.51,2019-07-28,01:06,N,nominal,1.0NRT,285.8,2.9,D
68.90277,136.08824,328,0.54,0.51,2019-07-28,01:06,N,nominal,1.0NRT,288.9,2.9,D
69.61984,140.43704,335.8,0.42,0.45,2019-07-28,01:06,N,nominal,1.0NRT,284.8,9.1,D
69.62251,140.44507,341.5,0.42,0.45,2019-07-28,01:06,N,nominal,1.0NRT,287,9.1,D
62.30862,136.18224,340.9,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,292.1,6.6,D
62.31265,136.19028,339.5,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291,6.6,D
62.2301,136.04504,336.3,0.6,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291.3,11.1,D
62.23417,136.05312,347.4,0.6,0.7,2019-07-28,01:06,N,nominal,1.0NRT,291,11.1,D
62.30836,136.20105,327.3,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,290.9,6.6,D
62.20479,136.01422,330.7,0.6,0.71,2019-07-28,01:06,N,nominal,1.0NRT,291,6.1,D
62.36857,135.95294,356.5,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,293.9,13.4,D
62.37272,135.9612,350.5,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,292.5,13.4,D
62.37683,135.96938,367,0.59,0.7,2019-07-28,01:06,N,high,1.0NRT,294.1,17.9,D
62.36402,135.96321,357.5,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,293.4,13.4,D
62.37225,135.97961,327.2,0.59,0.7,2019-07-28,01:06,N,nominal,1.0NRT,290.4,17.9,D
62.36812,135.97139,367,0.59,0.7,2019-07-28,01:06,N,high,1.0NRT,292.7,13.4,D
69.60875,140.42122,328.7,0.42,0.45,2019-07-28,01:06,N,nominal,1.0NRT,287.2,2.3,D
69.61097,140.44553,346.6,0.42,0.45,2019-07-28,01:06,N,nominal,1.0NRT,287.8,7.8,D
69.73006,141.08897,341.4,0.41,0.45,2019-07-28,01:06,N,nominal,1.0NRT,281.4,9,D
69.73261,141.0968,339.3,0.41,0.45,2019-07-28,01:06,N,nominal,1.0NRT,278.6,9,D
69.72943,141.0974,348.6,0.41,0.45,2019-07-28,01:06,N,nominal,1.0NRT,282.1,8.8,D
69.65778,141.0696,345.8,0.41,0.45,2019-07-28,01:06,N,nominal,1.0NRT,282.3,6.4,D
69.66029,141.07738,326.9,0.41,0.45,2019-07-28,01:06,N,nominal,1.0NRT,275.8,6.4,D
64.18229,128.94449,329.5,0.64,0.72,2019-07-28,01:06,N,nominal,1.0NRT,287.9,11.6,D
