latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
56.63328,161.31404,341.9,0.52,0.5,2019-06-16,00:48,N,nominal,1.0NRT,284.1,7,D
56.63021,161.30304,339.8,0.52,0.5,2019-06-16,00:48,N,nominal,1.0NRT,286,7,D
56.62916,161.30333,330.1,0.52,0.5,2019-06-16,00:48,N,nominal,1.0NRT,283.5,6,D
56.63735,161.31367,339.7,0.52,0.5,2019-06-16,00:48,N,nominal,1.0NRT,276.9,13.4,D
56.63454,161.30382,337.1,0.52,0.5,2019-06-16,00:48,N,nominal,1.0NRT,278.8,6,D
67.18605,152.31947,338.4,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,295.3,45.5,D
67.16013,152.35031,330.6,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,294.1,3.6,D
67.16315,152.36115,343,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,298.5,9.3,D
67.1566,152.37302,340.3,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,300.9,107.2,D
67.16326,152.35405,338.1,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,295.3,23.6,D
67.15999,152.36,336.9,0.56,0.43,2019-06-16,00:54,N,low,1.0NRT,307.7,23.6,D
67.16296,152.37086,342.2,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,309.3,41.4,D
67.15969,152.3768,343.6,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,302.2,19.3,D
67.15163,152.47243,342.4,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,301.7,6.2,D
67.14243,152.45677,334.1,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,300.2,10.6,D
67.14539,152.46754,338.9,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,304,19.6,D
67.14835,152.47833,350.5,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,302.9,19.6,D
67.15128,152.489,339.1,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,302.4,6.2,D
67.13916,152.46271,350.1,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,302.9,10.6,D
67.14211,152.47343,348.8,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,302.6,19.6,D
67.14507,152.48422,329.7,0.56,0.43,2019-06-16,00:54,N,nominal,1.0NRT,299,19.6,D
64.19872,145.68246,333,0.35,0.57,2019-06-16,00:54,N,nominal,1.0NRT,294,4.7,D
64.9016,148.33057,345.2,0.56,0.52,2019-06-16,00:54,N,nominal,1.0NRT,298.5,9.9,D
65.10249,148.92007,355,0.53,0.5,2019-06-16,00:54,N,nominal,1.0NRT,296.8,7.5,D
