latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
31.65162,38.86036,314.7,0.46,0.64,2019-06-20,00:00,N,nominal,1.0NRT,291,1.9,N
31.65055,38.86164,318.1,0.46,0.64,2019-06-20,00:00,N,nominal,1.0NRT,291.2,1.8,N
33.71607,37.01356,300.8,0.32,0.55,2019-06-20,00:00,N,nominal,1.0NRT,289.4,0.5,N
34.7246,33.31622,310.5,0.39,0.44,2019-06-20,00:00,N,nominal,1.0NRT,291.9,1.5,N
34.60831,37.90496,305,0.35,0.56,2019-06-20,00:00,N,nominal,1.0NRT,288.6,0.9,N
34.60924,37.90124,318.8,0.35,0.56,2019-06-20,00:00,N,nominal,1.0NRT,288.7,0.9,N
34.93545,37.99286,301.3,0.34,0.56,2019-06-20,00:00,N,nominal,1.0NRT,286,0.4,N
34.94046,37.99475,306.9,0.34,0.56,2019-06-20,00:00,N,nominal,1.0NRT,286.8,0.4,N
36.26421,33.73166,305.4,0.38,0.43,2019-06-20,00:00,N,nominal,1.0NRT,290.6,0.7,N
29.80549,32.09454,307.2,0.42,0.45,2019-06-20,00:00,N,nominal,1.0NRT,295.8,1.4,N
22.57859,39.08361,303.1,0.77,0.77,2019-06-20,00:00,N,nominal,1.0NRT,292.4,1.7,N
22.7048,39.0336,313.9,0.76,0.77,2019-06-20,00:00,N,nominal,1.0NRT,292.6,4.2,N
22.70605,39.03996,307.5,0.76,0.77,2019-06-20,00:00,N,nominal,1.0NRT,292.3,1.8,N
28.27932,33.31801,306.9,0.53,0.5,2019-06-20,00:00,N,nominal,1.0NRT,295.5,0.8,N
28.1628,34.87211,324.8,0.33,0.55,2019-06-20,00:00,N,nominal,1.0NRT,298.2,1.7,N
29.5277,28.44164,313.9,0.43,0.38,2019-06-20,00:00,N,nominal,1.0NRT,293.9,1,N
29.01704,31.20131,324,0.39,0.44,2019-06-20,00:00,N,nominal,1.0NRT,299.1,2.1,N
29.02023,31.20624,314.2,0.39,0.44,2019-06-20,00:00,N,nominal,1.0NRT,297.6,2.1,N
29.021,31.20234,308,0.39,0.44,2019-06-20,00:00,N,nominal,1.0NRT,296.7,2.1,N
29.65498,28.36,322.1,0.43,0.38,2019-06-20,00:00,N,nominal,1.0NRT,294.3,0.9,N
29.75512,28.00488,313.8,0.42,0.37,2019-06-20,00:00,N,nominal,1.0NRT,295.2,0.5,N
29.7152,28.63367,312.4,0.44,0.38,2019-06-20,00:00,N,nominal,1.0NRT,294.5,0.6,N
29.85006,27.9473,312.6,0.41,0.37,2019-06-20,00:00,N,nominal,1.0NRT,294.6,0.9,N
29.97963,27.78774,309.6,0.41,0.37,2019-06-20,00:00,N,nominal,1.0NRT,294.8,0.5,N
29.85432,28.52682,305.9,0.43,0.38,2019-06-20,00:00,N,nominal,1.0NRT,293.8,0.5,N
30.30805,26.04245,305.1,0.38,0.36,2019-06-20,00:00,N,nominal,1.0NRT,292.7,0.7,N
28.9627,33.18409,315,0.5,0.49,2019-06-20,00:00,N,nominal,1.0NRT,294.7,1.3,N
30.03785,27.91727,311.4,0.41,0.37,2019-06-20,00:00,N,nominal,1.0NRT,293.4,0.9,N
